time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_range,train/value_loss,train/clip_fraction,train/n_updates,train/loss
2048,72.0,6,1,-1.0303824285714285,341,,,,,,,,,,
4096,72.0,6,2,-1.0313290714285714,659,-0.08762620421475731,0.042663604,0.0003,0.0,-7.574235852062702,0.2,0.005895949603291229,0.6158203125,260,-0.17058439552783966
6144,72.0,6,3,-1.0511654588235293,980,-0.08023937862890307,0.03913683,0.0003,-1.1920928955078125e-07,-7.543351195752621,0.2,0.005006147895619506,0.59208984375,270,-0.15100330114364624
8192,72.0,6,4,-1.0479991800000001,1311,-0.08094770248571877,0.038061902,0.0003,0.0,-7.515339148044586,0.2,0.0053561714448733255,0.581298828125,280,-0.19856008887290955
