time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/n_updates,train/learning_rate
1,6,-1.08883625,319,2048,72.0,,,,,,,,,,
2,6,-1.0617838750000002,667,4096,72.0,0.037542768,0.0,-0.08146749006118625,-7.488077868521214,0.589599609375,-0.153116375207901,0.2,0.005700524189160205,300,0.0003
3,6,-1.0456012823529413,1009,6144,72.0,0.038773887,0.0,-0.07959342658868991,-7.426856276392937,0.573876953125,-0.17169570922851562,0.2,0.005990202275279443,310,0.0003
4,5,-1.03493789,1380,8192,72.0,0.038001217,0.0,-0.07929206225671806,-7.4152589499950405,0.5703125,-0.1414840668439865,0.2,0.004451791090104962,320,0.0003
5,5,-1.02374315,1738,10240,72.0,0.037239697,-1.1920928955078125e-07,-0.07605201395053882,-7.366452822089196,0.548486328125,-0.16896837949752808,0.2,0.003945589681825368,330,0.0003
