#{"t_start": 1723124210.7003095, "env_id": "None"}
r,l,t
-19.796935,72,11.279324
-24.704388,72,21.879213
-19.283239,72,34.143092
-17.702936,72,47.520377
-24.801838,72,57.864132
-21.543646,72,71.09626
-21.346206,72,83.841766
-20.500226,72,95.328759
-24.574107,72,105.349383
-23.528634,72,115.724698
-32.565942,72,127.004767
-17.388147,72,137.815827
-29.410092,72,150.168367
-23.883059,72,161.367826
-20.802501,72,173.074826
-14.233393,72,184.233783
-15.533628,72,194.756469
-28.603184,72,206.485635
-25.016542,72,216.078574
-15.263326,72,226.465132
-17.413518,72,237.614695
-26.528662,72,250.907789
-21.792163,72,263.536406
-19.497092,72,277.121234
-27.064089,72,288.496684
-30.971248,72,299.499309
-22.569122,72,309.021041
-21.413229,72,321.006537
-24.439946,72,332.725068
-11.43406,72,345.217978
-32.511176,72,358.772647
-16.182695,72,369.866914
-21.152728,72,381.128827
-24.891062,72,393.985277
-21.75262,72,407.808323
-14.719536,72,419.911469
-36.297302,72,431.908754
-32.697212,72,443.445301
-29.17586,72,453.423823
-17.197314,72,465.504101
-27.237882,72,477.727836
-24.123434,72,489.928741
-23.705899,72,502.528446
-28.595506,72,515.103911
-35.367849,72,527.448913
-20.024459,72,537.600906
-23.817766,72,550.841684
-17.460793,72,562.289451
-33.999079,72,573.05565
-12.593149,72,585.233446
-32.634424,72,596.04268
-35.882981,72,608.874278
-14.861708,72,621.009244
-22.960961,72,633.771317
-18.058878,72,644.738578
-35.577696,72,657.23333
-23.554036,72,669.430083
-18.592525,72,683.348166
-17.220552,72,696.01205
-31.43774,72,707.00299
-24.047348,72,718.667912
-25.152963,72,731.717481
-29.688739,72,742.041756
-17.627397,72,754.275034
-24.073582,72,768.104123
-25.254662,72,778.099038
-23.579998,72,790.71824
-31.22886,72,801.7052
-18.579349,72,814.649319
-20.442009,72,826.453456
-18.413713,72,838.524115
-26.346685,72,852.423649
-13.4145,72,865.699577
-26.60974,72,875.562183
-17.775725,72,888.764901
-24.482166,72,898.422323
-36.663413,72,911.583874
-18.913926,72,924.891524
-30.235241,72,937.427609
-19.093778,72,952.902338
-16.987356,72,966.231076
-17.58295,72,979.244655
-21.339236,72,992.130434
-20.927678,72,1006.007725
-20.981606,72,1021.093304
-18.323995,72,1035.766499
-19.087301,72,1046.690779
-19.02614,72,1059.475591
-21.255606,72,1072.909947
-32.522001,72,1086.261636
-10.150245,72,1099.261242
-17.688134,72,1110.887563
-24.635048,72,1123.531607
-36.458549,72,1134.53157
-32.225,72,1146.639658
-17.457322,72,1159.916131
-21.662937,72,1170.455533
-27.239854,72,1182.183308
-26.747664,72,1193.346021
-37.408202,72,1206.165168
-37.516072,72,1219.196266
-23.691731,72,1229.565147
-41.208196,72,1241.165947
-18.297384,72,1255.05105
-24.190004,72,1266.198264
-20.020689,72,1277.867353
-25.384952,72,1292.690108
-35.140894,72,1303.881917
-28.519952,72,1317.55122
-23.185945,72,1330.516103
-21.100478,72,1343.133504
-14.368083,72,1354.081789
-18.199987,72,1368.978326
-26.935445,72,1382.704536
-16.921081,72,1395.909432
-33.101401,72,1408.829803
-16.133669,72,1421.180699
-15.826855,72,1433.772421
-33.905872,72,1448.056448
-25.049609,72,1460.776416
-35.2821,72,1472.611291
-21.686639,72,1487.105927
-17.099794,72,1499.664189
-27.106768,72,1514.238762
-21.892928,72,1525.93863
-30.228415,72,1537.722247
-19.414958,72,1548.214661
-20.997617,72,1562.44223
-20.148864,72,1574.297629
-29.319979,72,1586.069795
-22.425215,72,1596.877443
-25.11728,72,1609.040471
-18.660915,72,1622.955063
-32.381945,72,1633.714355
-22.174995,72,1648.282757
-14.901352,72,1662.258662
-30.222296,72,1675.260235
-16.456267,72,1689.961135
-21.434556,72,1703.832961
-18.031925,72,1718.056618
-22.429268,72,1729.379262
-16.168692,72,1742.140032
-21.474336,72,1757.232924
-33.298454,72,1771.36792
-22.270795,72,1785.972576
-17.351545,72,1799.857935
-17.589653,72,1813.464916
-27.460422,72,1827.036636
-12.018059,72,1840.640619
-21.894668,72,1853.154921
-27.123241,72,1864.24262
-17.782201,72,1878.077299
-11.544717,72,1891.33085
-16.511219,72,1904.25387
-16.462556,72,1918.697162
-26.024642,72,1931.621223
-15.850435,72,1944.391536
-27.710707,72,1958.582968
-18.525053,72,1970.243971
-15.405974,72,1983.411108
-20.906267,72,1997.446036
-15.1731,72,2009.242196
-19.37079,72,2023.551259
-14.237857,72,2034.663802
-32.249396,72,2047.917522
-15.246558,72,2060.414783
-16.129253,72,2073.978077
-17.533275,72,2086.20746
-18.456386,72,2100.046743
-21.891931,72,2112.916608
-23.180791,72,2125.913368
-31.043205,72,2136.502213
-25.507215,72,2149.021623
-14.471385,72,2162.107843
-17.28482,72,2173.273276
-15.811762,72,2184.516056
-17.25693,72,2195.098305
-18.531982,72,2208.323967
-18.533163,72,2222.53951
-19.754597,72,2233.798686
-16.172821,72,2247.384596
-34.656861,72,2260.728141
-13.366194,72,2274.599703
-15.353455,72,2285.244133
-27.515637,72,2296.427446
-13.432497,72,2307.767962
-19.424804,72,2320.733063
-20.926019,72,2332.517275
-18.256919,72,2345.623894
-39.319932,72,2357.180408
-17.303294,72,2371.133569
-30.681867,72,2382.275595
-18.537671,72,2395.375793
-26.918696,72,2406.263719
-33.787284,72,2417.759681
-19.562289,72,2429.445979
-18.405965,72,2439.845201
-23.935166,72,2452.714957
-18.121088,72,2466.101893
-20.305199,72,2478.245173
-29.082805,72,2489.759607
-17.055686,72,2503.502239
-15.047878,72,2518.139768
-29.770734,72,2529.950735
-30.386767,72,2543.982503
-18.321992,72,2556.30933
-24.623759,72,2569.109417
-26.029858,72,2580.17677
-17.415188,72,2590.849939
-22.760639,72,2602.943076
-36.111597,72,2614.415674
-21.025019,72,2627.139766
-29.293795,72,2639.103042
-17.176982,72,2652.146008
-28.256893,72,2663.727964
-28.558152,72,2675.71658
-19.705707,72,2687.38004
-18.23759,72,2701.202382
-23.694078,72,2712.994138
-21.78425,72,2725.767675
-26.549989,72,2739.343798
-28.306739,72,2751.71185
-22.438964,72,2762.895936
-23.348842,72,2772.99774
-15.089747,72,2784.541011
-16.212803,72,2797.156955
-19.16591,72,2810.450668
-32.228949,72,2821.782362
-22.483632,72,2833.435735
-25.773707,72,2847.470329
-19.282475,72,2861.390663
-14.480826,72,2875.045471
-16.190985,72,2885.678651
-17.128398,72,2898.135013
-29.993925,72,2911.506015
-15.260858,72,2924.850075
-31.395655,72,2935.501518
-16.223844,72,2948.117863
-27.837278,72,2961.638937
-24.598251,72,2975.305819
-20.519086,72,2987.881372
-15.486944,72,3002.800478
-36.204586,72,3014.855292
-19.110006,72,3029.794719
-30.77149,72,3042.200396
-23.49132,72,3054.742184
-29.407653,72,3068.396181
-14.527209,72,3081.511924
-28.926707,72,3095.137991
-28.916096,72,3108.202907
-25.103045,72,3120.63621
-28.336885,72,3135.481373
-24.83254,72,3149.470709
-25.940094,72,3160.267008
-20.04767,72,3173.137836
-29.415123,72,3186.711155
-44.530119,72,3201.121393
-20.575009,72,3212.258026
-36.310823,72,3223.79975
-31.459933,72,3237.128212
-14.024756,72,3250.957965
-18.652441,72,3264.708735
