rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/clip_fraction,train/value_loss,train/clip_range,train/approx_kl,train/loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/n_updates
-1.3543151071428574,359,2048,5,72.0,1,,,,,,,,,,
-1.3355366607142858,751,4096,5,72.0,2,-8.305240872502328,0.64130859375,0.014089844943373463,0.2,0.03998039,-0.18505951762199402,0.0,0.0003,-0.10624394601036329,10
-1.3117597176470588,1136,6144,5,72.0,3,-8.279736599326133,0.762353515625,0.014404948714945931,0.2,0.04643756,-0.21531091630458832,-1.1920928955078125e-07,0.0003,-0.1142540359578561,20
-1.31304826,1500,8192,5,72.0,4,-8.250822275876999,0.7404296875,0.010145615602232283,0.2,0.052392468,-0.1884452998638153,0.0,0.0003,-0.10647864369966556,30
