#{"t_start": 1723492038.395516, "env_id": "None"}
r,l,t
-0.862271,72,11.505156
-1.016144,72,24.699497
-1.049905,72,38.317436
-0.884851,72,51.25217
-0.720028,72,66.507049
-0.921421,72,80.728597
-1.068078,72,93.354044
-1.097482,72,106.075836
-0.927413,72,118.801092
-1.119151,72,130.786604
-0.7816,72,141.973331
-0.84616,72,155.985861
-1.154935,72,168.171076
-0.971272,72,183.304513
-0.803083,72,195.798071
-1.141622,72,210.25584
-1.10984,72,222.795969
-0.981654,72,236.285634
-1.011946,72,252.485606
-1.335912,72,264.760607
-1.219883,72,276.242244
-1.778502,72,290.568284
-1.035846,72,305.265815
-0.872671,72,317.903265
-1.01609,72,333.512092
-0.89895,72,348.268731
-1.064704,72,362.49132
-0.735164,72,375.620068
-1.175426,72,388.754316
-0.927749,72,404.971716
-1.318514,72,419.14208
-0.856047,72,435.077024
-0.899648,72,448.125585
-0.738737,72,462.297787
-0.859551,72,474.569761
-1.023665,72,487.307943
-1.00316,72,502.324852
-0.908794,72,515.58125
-1.791614,72,530.396093
-1.666156,72,546.093733
-1.03921,72,559.087251
-1.019114,72,570.502374
-0.831661,72,584.478395
-1.416223,72,599.301998
-0.856972,72,615.301388
-0.866202,72,627.091674
-1.146635,72,641.893416
-0.952581,72,655.190624
-1.540843,72,670.524618
-0.983028,72,686.63722
-0.83319,72,701.734421
-0.940825,72,716.412895
-1.202976,72,729.819148
-0.919659,72,744.668653
-0.949743,72,756.421567
-1.136971,72,768.682503
-0.917018,72,785.010149
-0.989634,72,796.703461
-0.798217,72,809.651817
-0.837416,72,822.050071
-1.382842,72,834.712932
-0.962797,72,846.35181
-0.840094,72,860.452297
-1.135237,72,876.518595
-0.889614,72,889.163936
-1.147774,72,902.87583
-1.061107,72,915.916777
-0.946314,72,932.09346
-1.097976,72,944.222875
-1.019979,72,956.294838
-0.859123,72,972.197278
-0.828991,72,986.495339
-1.453029,72,999.399832
-0.87529,72,1011.343625
-0.988786,72,1024.393299
-1.131436,72,1039.051108
-1.125112,72,1053.435415
-0.905683,72,1069.063463
-1.419932,72,1082.865976
-1.223342,72,1097.557388
-0.695609,72,1110.385884
-1.081098,72,1124.965155
-0.858448,72,1140.58237
-1.487128,72,1154.109534
-0.975669,72,1169.784782
-0.886982,72,1183.761079
-1.586118,72,1198.487563
-0.973535,72,1212.973144
-0.893833,72,1226.939021
-0.887228,72,1243.583212
-0.861455,72,1258.553024
-0.857329,72,1273.714201
-1.081818,72,1286.743748
-0.893396,72,1301.802847
-1.200125,72,1316.544433
-1.335862,72,1331.261677
-0.862448,72,1345.444075
-1.30195,72,1359.724534
-1.272466,72,1372.888027
-1.096319,72,1384.764754
-1.80098,72,1397.64938
-1.185222,72,1413.098146
-0.824343,72,1429.285748
-1.328377,72,1444.192942
-1.42796,72,1457.412481
-0.773932,72,1471.090661
-0.850935,72,1485.636325
-0.85801,72,1499.177529
-0.909005,72,1515.132802
-1.069866,72,1529.920871
-0.838727,72,1542.126727
-0.727592,72,1557.837597
-0.885904,72,1570.984545
-1.154755,72,1587.743593
-1.204139,72,1601.243173
-1.074415,72,1616.024186
-1.23618,72,1631.302849
-1.382509,72,1644.072531
-0.815513,72,1659.744064
-0.957664,72,1671.918087
-1.058348,72,1685.703567
-1.144342,72,1699.086574
-0.967134,72,1711.724837
-0.871917,72,1725.240118
-0.980359,72,1739.056117
-1.111392,72,1750.647023
-1.017482,72,1764.647877
-1.150028,72,1777.891093
-0.902124,72,1792.724912
-1.02403,72,1805.20408
-0.963121,72,1819.372291
-1.416925,72,1833.636026
-0.873388,72,1848.096222
-1.066583,72,1863.429457
-0.857551,72,1877.158522
-0.765832,72,1892.102404
-1.081753,72,1907.918939
-1.002501,72,1920.931403
-0.9244,72,1935.191078
-1.001392,72,1949.977653
-1.007692,72,1966.162224
-1.503471,72,1979.402256
-0.798529,72,1995.046669
-0.993221,72,2010.173657
-1.113516,72,2024.528342
-0.764756,72,2038.41181
-0.764429,72,2051.22457
-1.345799,72,2064.902356
-0.885168,72,2078.082317
-0.720078,72,2090.664601
-1.860381,72,2104.526912
-0.846433,72,2120.225524
