rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/clip_fraction,train/value_loss,train/clip_range,train/approx_kl,train/loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/n_updates
-1.2340895,382,2048,5,72.0,1,,,,,,,,,,
-1.3079960714285714,754,4096,5,72.0,2,-8.192400938272476,0.74072265625,0.008645553110545734,0.2,0.056606572,-0.20540259778499603,1.1920928955078125e-07,0.0003,-0.10855133963632398,50
-1.3082111176470588,1139,6144,5,72.0,3,-8.165719130635262,0.727685546875,0.012350504182541045,0.2,0.054284453,-0.21827280521392822,-1.1920928955078125e-07,0.0003,-0.11224817363254261,60
-1.3048629600000001,1515,8192,5,72.0,4,-8.142494550347328,0.726953125,0.011012599707464687,0.2,0.054533627,-0.21890999376773834,0.0,0.0003,-0.11237588210497051,70
-1.28374289,1889,10240,5,72.0,5,-8.114228129386902,0.7091796875,0.008004379907652038,0.2,0.048525605,-0.21292328834533691,0.0005877017974853516,0.0003,-0.10760572496801615,80
-1.2089886300000001,2275,12288,5,72.0,6,-8.091549035906791,0.696875,0.007797023622697452,0.2,0.049212173,-0.2088119387626648,0.0,0.0003,-0.10411971943685785,90
-1.21444565,2664,14336,5,72.0,7,-8.068922290205956,0.672119140625,0.005598509297851706,0.2,0.047322705,-0.21164026856422424,-1.1920928955078125e-07,0.0003,-0.09627490477287211,100
-1.2145563400000001,3086,16384,5,72.0,8,-8.04356628358364,0.67177734375,0.006950278724980307,0.2,0.045112148,-0.2061767876148224,0.0,0.0003,-0.10267558489867952,110
-1.22212162,3529,18432,5,72.0,9,-8.026680758595466,0.6732421875,0.0063759788303286765,0.2,0.04542449,-0.20809337496757507,0.0,0.0003,-0.10036296210018918,120
-1.1948541499999998,3981,20480,5,72.0,10,-8.003910601139069,0.66162109375,0.009207713852811139,0.2,0.043131925,-0.17102175951004028,0.0,0.0003,-0.09750700765871442,130
-1.1854310899999998,4403,22528,5,72.0,11,-7.964263677597046,0.6427734375,0.006502512648148695,0.2,0.043272316,-0.20464783906936646,0.0,0.0003,-0.09843442338169553,140
-1.17648956,4827,24576,5,72.0,12,-7.9329345434904095,0.663330078125,0.008187671539053554,0.2,0.042938292,-0.1949210911989212,0.0,0.0003,-0.09931898719223682,150
