time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/n_updates,train/clip_range,train/explained_variance,train/approx_kl
1,388,5,72.0,2048,-0.969761357142857,,,,,,,,,,
2,822,4,72.0,4096,-1.0180934464285714,-0.0783220108540263,0.587451171875,0.0003,-7.529095306992531,0.004103108992057969,-0.1975916028022766,270,0.2,0.0,0.039724447
