#{"t_start": 1723536465.8966413, "env_id": "None"}
r,l,t
-0.720149,72,13.389963
-1.133487,72,26.120876
-0.906722,72,39.09103
-1.011317,72,51.474304
-1.007004,72,65.659962
-1.187139,72,80.195823
-0.82396,72,95.072629
-0.819771,72,108.381805
-0.705352,72,120.441854
-1.123726,72,134.684078
-0.809245,72,145.864106
-0.849194,72,160.893422
-0.998428,72,174.840627
-0.928196,72,188.468332
-1.166938,72,201.355376
-1.030447,72,215.557322
-0.727847,72,228.155772
-0.74746,72,239.959397
-0.984584,72,254.273695
-0.888674,72,265.932834
-0.814528,72,280.723801
-0.864217,72,293.19834
-0.690601,72,305.352103
-0.716671,72,318.19799
-0.777786,72,330.460245
-0.683679,72,343.715499
-0.87301,72,356.409483
-0.913105,72,369.928705
-0.78062,72,384.682906
-1.016411,72,399.674076
-0.740789,72,412.052728
-0.908174,72,425.417243
-1.121384,72,440.297219
-0.921609,72,455.430501
-0.75153,72,468.148913
-0.787511,72,480.307667
-0.894008,72,494.748861
-0.846373,72,506.701295
-0.85476,72,519.967767
-0.7083,72,532.965819
-0.975108,72,544.803327
-0.848975,72,559.517647
-0.92828,72,574.137192
-0.750875,72,587.074372
-0.751652,72,600.466643
-0.857527,72,613.330362
-1.046471,72,626.450796
-0.815493,72,638.866925
-0.722866,72,652.373564
-0.815599,72,666.360417
-1.186653,72,682.514653
-0.957655,72,697.250792
-0.944759,72,709.281913
-0.950286,72,720.948677
-0.911525,72,734.565482
-0.793076,72,747.670705
-0.773788,72,763.380834
-0.869243,72,777.806729
-1.019341,72,792.084689
-0.742519,72,805.403142
-1.004396,72,820.316569
-0.851211,72,834.508535
-0.781975,72,850.147245
-0.78927,72,865.529024
-0.645499,72,878.749674
-0.83195,72,893.735511
-0.69167,72,905.378833
-0.913281,72,921.374277
-1.081085,72,936.202182
-0.733322,72,949.31714
-0.843415,72,962.338953
-0.971227,72,974.895848
-0.793384,72,988.156457
-0.81291,72,1000.371836
-0.784272,72,1013.276011
-0.973404,72,1027.081288
-0.824099,72,1038.658063
-0.909063,72,1052.653233
-0.7079,72,1064.864339
-0.80707,72,1077.285723
-0.736205,72,1090.719795
-0.85798,72,1105.150228
-0.903936,72,1116.579476
-0.683253,72,1131.205963
-0.838534,72,1146.746295
-0.928705,72,1162.092042
-0.951802,72,1176.309191
-1.030033,72,1190.424868
-0.698403,72,1202.47204
-0.752296,72,1214.949075
-0.705385,72,1229.279449
-1.125654,72,1242.92936
-1.181833,72,1255.038981
-0.632641,72,1266.859707
-1.141012,72,1279.819721
-0.774263,72,1293.793235
-0.747349,72,1306.71213
-0.744937,72,1319.545532
-0.764697,72,1333.802206
-1.103919,72,1348.053569
-0.813151,72,1359.553279
-0.707478,72,1371.601074
-0.92952,72,1388.422829
-1.238645,72,1402.490182
-1.156793,72,1417.433143
-1.005566,72,1432.25348
-0.872766,72,1448.493893
-0.837208,72,1465.357146
-1.028302,72,1477.938314
-0.926044,72,1493.933473
-1.075015,72,1506.52293
-0.947853,72,1522.073641
-1.361208,72,1536.693176
-0.769989,72,1552.212033
-1.144696,72,1566.700942
-0.976762,72,1581.042657
-0.77292,72,1595.085421
-0.775716,72,1607.356993
-0.847503,72,1620.592643
-0.885759,72,1635.095063
-0.854764,72,1651.667311
-0.964937,72,1665.725708
-0.836757,72,1680.036811
-0.828236,72,1695.038518
-1.00871,72,1708.188677
-0.91313,72,1724.334285
-0.816944,72,1739.048677
-0.749759,72,1755.840176
-0.72133,72,1769.967406
-0.997963,72,1785.119511
-0.699196,72,1800.956324
-0.892403,72,1814.62696
-0.771488,72,1826.623735
-0.767768,72,1842.349505
-1.091144,72,1855.540414
-0.881138,72,1870.889487
-0.820895,72,1885.46048
-0.800192,72,1899.182439
-0.720884,72,1913.499239
-0.968032,72,1928.690495
-0.784674,72,1943.185493
-0.90488,72,1958.858454
