#{"t_start": 1723543277.0195415, "env_id": "None"}
r,l,t
-0.796521,72,12.084781
-0.762638,72,27.037445
-0.740878,72,39.585757
-0.900657,72,53.899663
-0.909609,72,66.769205
-0.706159,72,79.549681
-0.894103,72,92.648335
-0.777978,72,106.564344
-0.966329,72,121.346402
-0.838089,72,134.618806
-0.741479,72,149.150218
-0.769506,72,164.999184
-1.201452,72,178.837577
-0.753166,72,191.515168
-0.871147,72,205.535042
-0.832572,72,219.573868
-0.914826,72,233.443852
-1.098118,72,247.655158
-0.965959,72,262.228096
-0.843304,72,277.401347
-0.793041,72,291.208517
-0.752973,72,304.546984
-1.116098,72,317.372063
-0.78477,72,329.839104
-0.835448,72,341.815315
-0.810095,72,356.314221
-0.754376,72,368.655841
-0.807205,72,381.285501
-0.895236,72,394.049405
-0.743504,72,406.295827
-1.066289,72,420.723016
-0.832312,72,432.48374
-0.767704,72,448.475345
-0.858388,72,463.206011
-0.889872,72,475.811828
-0.887193,72,489.266592
-1.185356,72,503.885066
-0.811206,72,515.759853
-0.713999,72,530.52206
-0.8709,72,544.160196
-0.724282,72,556.602456
-0.849916,72,569.620136
-0.876649,72,580.984414
-0.738242,72,596.442578
-0.79298,72,610.497677
-0.779308,72,622.48174
-0.876961,72,637.982792
-0.756794,72,651.345722
-1.02075,72,665.0443
-0.73639,72,676.686637
-0.855428,72,691.340144
-1.049487,72,707.186846
-0.947785,72,720.293166
-1.195248,72,733.079138
-0.890349,72,748.307012
-0.694061,72,761.853858
-0.800662,72,776.164232
-0.688616,72,793.193044
-0.974979,72,805.77167
-0.962502,72,818.946299
-0.822053,72,832.290755
-0.890313,72,848.133802
-0.967701,72,863.015617
-0.920612,72,876.793478
-0.743659,72,888.836497
-0.74888,72,904.729054
-1.177995,72,919.281655
-1.395028,72,933.369724
-1.053509,72,948.524738
-0.885441,72,962.087793
-0.75424,72,974.355154
-0.678706,72,986.06218
-0.745247,72,1000.645694
-0.813827,72,1012.217121
-0.864149,72,1025.715248
-1.010914,72,1038.706085
-1.008857,72,1053.840549
-0.8465,72,1067.720238
-0.715639,72,1083.782326
-0.655725,72,1096.998423
-0.873634,72,1109.544046
-0.719778,72,1124.719647
-1.137621,72,1139.707906
-0.855535,72,1153.28205
-0.756797,72,1168.791598
-0.772631,72,1184.63459
-0.755172,72,1199.792151
-0.872135,72,1214.499162
-0.853839,72,1227.729984
-0.851445,72,1242.300401
-0.894123,72,1257.161337
-0.737296,72,1269.425994
-0.760097,72,1280.850748
-1.095409,72,1292.012089
-0.799366,72,1306.299931
-0.804988,72,1319.82568
-0.765289,72,1331.327914
-0.757351,72,1342.024316
-0.785475,72,1352.938967
-0.667503,72,1366.237419
-1.635386,72,1379.784332
-0.721078,72,1392.466327
-0.715693,72,1406.105893
-0.829941,72,1420.700399
-0.73938,72,1434.646975
-0.741452,72,1447.010615
-0.790811,72,1460.700891
-0.66982,72,1473.008715
-1.182433,72,1485.437912
-0.769674,72,1496.538993
-0.94069,72,1510.404227
-0.931234,72,1525.081452
-0.908024,72,1538.127096
-0.693124,72,1552.783138
-0.76399,72,1566.769563
-0.708563,72,1579.177546
-0.833687,72,1593.48837
-0.712052,72,1605.583417
-0.848736,72,1618.888433
-0.774028,72,1630.857332
-0.766673,72,1644.485517
-0.791514,72,1659.656695
-0.939893,72,1671.661257
-0.912209,72,1686.585229
-0.986401,72,1699.064983
-0.681168,72,1712.30538
-0.945628,72,1724.330913
-0.841607,72,1739.42723
-0.777899,72,1752.56032
-0.765548,72,1764.250244
-0.88891,72,1777.996181
-0.878756,72,1792.833861
-0.874768,72,1805.351899
-1.256237,72,1818.552089
-0.803467,72,1829.306483
-0.99318,72,1844.435082
-0.709985,72,1855.489041
-0.822878,72,1869.983135
-1.221561,72,1882.51064
-0.909194,72,1897.064095
-1.404229,72,1909.471692
-0.811221,72,1922.711257
-0.744809,72,1936.021633
