time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,train/loss,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/n_updates
394,2048,-0.8083892857142858,1,72.0,5,,,,,,,,,,
776,4096,-0.7907679107142858,2,72.0,5,-0.11010673642158508,-5.9950164124369625,0.0037591935593809466,0.0,0.2,0.030767974,0.0003,0.40791015625,-0.046837135999521703,1970
1167,6144,-0.8024127999999999,3,72.0,5,-0.08393712341785431,-6.089854069054127,0.0035559588266551147,0.0,0.2,0.030377552,0.0003,0.41767578125,-0.044933272374328224,1980
1549,8192,-0.80437229,4,72.0,5,-0.12258995324373245,-6.074013939499855,0.004707384923676727,-1.1920928955078125e-07,0.2,0.030010024,0.0003,0.456494140625,-0.04968333205761155,1990
1929,10240,-0.8185595800000001,5,72.0,5,-0.1034700870513916,-6.056800909340382,0.005970640563828056,0.0,0.2,0.031327523,0.0003,0.442041015625,-0.05137755929317791,2000
2305,12288,-0.82392488,6,72.0,5,-0.13307733833789825,-6.037396471202373,0.004133249150254414,0.0,0.2,0.03088412,0.0003,0.4357421875,-0.0518594824054162,2010
2683,14336,-0.82393092,7,72.0,5,-0.14188870787620544,-6.132904045283794,0.004522881918819621,1.1920928955078125e-07,0.2,0.029866016,0.0003,0.43330078125,-0.04674460920214187,2020
3075,16384,-0.8212581299999998,8,72.0,5,-0.09959213435649872,-6.180424739420414,0.0037391286768979626,0.0,0.2,0.034240436,0.0003,0.41591796875,-0.05143521296558902,2030
3456,18432,-0.8040070000000001,9,72.0,5,-0.11912880837917328,-6.173732171952724,0.004487512671403238,0.0,0.2,0.032110766,0.0003,0.413134765625,-0.05013510385615518,2040
3854,20480,-0.8151508899999997,10,72.0,5,-0.11547805368900299,-6.181979447603226,0.004059229297490674,0.0,0.2,0.031080564,0.0003,0.433447265625,-0.047271048185939434,2050
4244,22528,-0.82115158,11,72.0,5,-0.10061509907245636,-6.235220015048981,0.0036096578569413396,-1.1920928955078125e-07,0.2,0.030516006,0.0003,0.45087890625,-0.047219192839111204,2060
4634,24576,-0.82936406,12,72.0,5,-0.11278019845485687,-6.2281677827239035,0.004012600312489667,0.0,0.2,0.031247228,0.0003,0.44560546875,-0.05345198527938919,2070
5016,26624,-0.8320189800000002,13,72.0,5,-0.10574827343225479,-6.122726628184319,0.003750633830350125,-1.1920928955078125e-07,0.2,0.032289624,0.0003,0.41884765625,-0.05190064887574408,2080
5415,28672,-0.8253142200000001,14,72.0,5,-0.11505066603422165,-6.109896722435951,0.004795133542575059,-1.1920928955078125e-07,0.2,0.03242528,0.0003,0.480615234375,-0.05502873232762795,2090
5811,30720,-0.8062042100000001,15,72.0,5,-0.10733658075332642,-6.022198754549026,0.004019225865704357,0.0,0.2,0.030487988,0.0003,0.4244140625,-0.04769906533765607,2100
6213,32768,-0.81299706,16,72.0,5,-0.08548936247825623,-6.012835143506527,0.004695309562157491,0.0,0.2,0.032166645,0.0003,0.4580078125,-0.04918590155502898,2110
6612,34816,-0.81836311,17,72.0,5,-0.10495484620332718,-6.120557971298695,0.0036982330391765574,5.960464477539063e-08,0.2,0.031845313,0.0003,0.422412109375,-0.04532537580525968,2120
7014,36864,-0.82808873,18,72.0,5,-0.07554594427347183,-6.099897460639477,0.005161602273074095,0.0,0.2,0.030811425,0.0003,0.423291015625,-0.04767115360009484,2130
7411,38912,-0.83158704,19,72.0,5,-0.11557565629482269,-6.058567947149276,0.005077570342473336,0.0,0.2,0.03356507,0.0003,0.467919921875,-0.05545414401276503,2140
7809,40960,-0.8442462699999999,20,72.0,5,-0.10237262398004532,-5.966397701203823,0.004962662150501273,0.0,0.2,0.030539656,0.0003,0.44072265625,-0.050693594728363676,2150
8207,43008,-0.8274217099999999,21,72.0,5,-0.13393153250217438,-5.912033528089523,0.004617894150942448,1.1920928955078125e-07,0.2,0.036187205,0.0003,0.43203125,-0.052733098267344757,2160
8605,45056,-0.8175978799999999,22,72.0,5,-0.1401626616716385,-6.001795083284378,0.004717072684434243,0.0,0.2,0.03177954,0.0003,0.41640625,-0.04631752148852684,2170
