rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,train/n_updates,train/clip_range,train/learning_rate
72.0,1,374,2048,5,-0.8894013214285714,,,,,,,,,,
72.0,2,759,4096,5,-0.8837768928571429,0.0036212667897416394,-0.053220065173809415,0.031450402,0.0,-6.469449172914028,0.46640625,-0.0999998152256012,600,0.2,0.0003
72.0,3,1150,6144,5,-0.8666671529411764,0.004113616234644723,-0.05440860915114172,0.035212465,0.0,-6.3503861322999,0.46904296875,-0.10406597703695297,610,0.2,0.0003
72.0,4,1548,8192,5,-0.8775369199999998,0.003223037718089472,-0.05088221277110279,0.032339282,0.0,-6.360884860157967,0.448681640625,-0.09963244199752808,620,0.2,0.0003
72.0,5,1961,10240,5,-0.8775896599999998,0.004625968415348325,-0.05992231035488658,0.035156153,1.1920928955078125e-07,-6.3317493662238125,0.470361328125,-0.11407212913036346,630,0.2,0.0003
