#{"t_start": 1723476923.960039, "env_id": "None"}
r,l,t
-0.986735,72,12.174361
-1.210612,72,24.515741
-1.040206,72,35.651769
-1.007625,72,48.726559
-0.891265,72,60.044795
-1.507481,72,70.590331
-1.21435,72,81.487557
-1.25469,72,95.81912
-0.820507,72,109.871947
-1.181691,72,122.351018
-0.937923,72,135.072506
-1.141677,72,146.673776
-0.853677,72,157.901515
-1.081638,72,168.015362
-1.339777,72,180.554502
-1.04047,72,193.895905
-1.149397,72,206.647551
-1.227768,72,218.051655
-1.057102,72,229.692206
-1.115265,72,244.035807
-0.929155,72,255.891475
-1.143788,72,269.379414
-0.93181,72,280.416189
-0.909886,72,293.154845
-0.898514,72,306.555224
-0.951837,72,319.729269
-1.049714,72,332.779235
-1.006858,72,345.25457
-1.088885,72,360.362377
-1.138058,72,374.782278
-1.00567,72,387.842154
-0.835681,72,401.478432
-1.144824,72,413.574536
-0.919091,72,425.853695
-1.470614,72,438.688898
-1.203488,72,450.679322
-0.814238,72,464.663528
-0.905847,72,478.578329
-1.03458,72,489.813808
-0.969505,72,501.356991
-0.794562,72,512.044769
-1.360182,72,523.556908
-0.876203,72,537.329443
-1.226946,72,551.390271
-0.849114,72,563.561632
-0.901116,72,578.104492
-0.95076,72,593.443165
-0.965985,72,607.296691
-1.117887,72,618.964179
-0.995599,72,631.184327
-0.961011,72,644.88095
-1.07919,72,658.47725
-1.128113,72,672.944346
-0.833246,72,685.203969
-1.724096,72,698.340962
-1.14799,72,711.83949
-0.960638,72,725.820119
-0.957432,72,738.458168
-0.927936,72,750.68098
-0.870248,72,764.988991
-1.336339,72,778.192946
-0.863876,72,791.238263
-1.028942,72,806.206138
-1.092774,72,821.565166
-1.380463,72,834.640226
-1.429426,72,848.637728
-1.060482,72,863.644003
-1.236024,72,878.395684
-0.769125,72,890.829851
-0.981611,72,904.440939
-0.981037,72,919.376714
-1.109958,72,932.946913
-1.231324,72,947.112521
-0.990831,72,960.974671
-1.095144,72,972.986816
-1.140019,72,987.394281
-1.475983,72,1000.975654
-0.873398,72,1014.159017
-0.910424,72,1027.021487
-1.030965,72,1038.945391
-0.908846,72,1053.060488
-0.960514,72,1067.042227
-0.870304,72,1079.127289
-0.988598,72,1091.499474
-0.912126,72,1106.472522
-1.236163,72,1121.392817
-0.991835,72,1135.316423
-1.218956,72,1149.731601
-0.819009,72,1162.612822
-1.096996,72,1175.783925
-0.849404,72,1190.945621
-1.30829,72,1203.251931
-1.128788,72,1214.88549
-0.850998,72,1229.779345
-0.955399,72,1243.620628
-1.076164,72,1259.209103
-0.929167,72,1271.229937
-1.088978,72,1284.726899
-1.202489,72,1300.075813
-1.480787,72,1312.839984
-0.861755,72,1326.450907
-1.367019,72,1338.969657
-1.152874,72,1351.508586
-0.897349,72,1364.342208
-1.371869,72,1377.589082
-1.050252,72,1391.525826
-1.225804,72,1405.283076
-0.914043,72,1419.056942
-0.94845,72,1432.063208
-0.858275,72,1444.263238
-0.862174,72,1458.896293
-1.341309,72,1474.813774
-1.047374,72,1487.976827
-0.924184,72,1504.282552
-1.057432,72,1517.825552
-1.468979,72,1531.253664
-1.071474,72,1546.573934
-1.201429,72,1560.267616
-1.136913,72,1572.115217
-1.211799,72,1586.213898
-1.886074,72,1599.906792
-0.791615,72,1611.016984
-1.000915,72,1625.677056
-1.335553,72,1637.876169
-1.315688,72,1653.171532
-1.379346,72,1667.979859
-1.684876,72,1680.167631
-1.137244,72,1695.780573
-1.009679,72,1710.804088
-1.127324,72,1725.573906
-0.945251,72,1741.886315
-0.940482,72,1755.086748
-0.95216,72,1769.395803
-1.017853,72,1783.313402
-1.23212,72,1796.249784
-0.824938,72,1812.772976
-0.919333,72,1825.351183
-1.044432,72,1839.042101
-1.428265,72,1852.84756
-1.185833,72,1865.557888
-0.939937,72,1877.596949
-1.20498,72,1889.940632
-1.012901,72,1901.591077
-1.822313,72,1914.580142
-0.966876,72,1926.619991
-0.969953,72,1940.372136
-0.856062,72,1955.417274
-0.981254,72,1969.218662
-0.906491,72,1984.501728
-0.887863,72,1998.431947
-1.151285,72,2011.096741
-1.074071,72,2025.633705
-0.945959,72,2039.693023
-1.048512,72,2053.005119
-0.995493,72,2066.754522
-1.237706,72,2082.115822
-1.025824,72,2094.031535
-1.098122,72,2109.378894
-1.103491,72,2123.578409
-1.278643,72,2136.007466
-0.922786,72,2149.97324
-1.016609,72,2163.618394
-1.30888,72,2179.186568
-1.430711,72,2194.844444
-1.518204,72,2209.892201
-1.695917,72,2224.982937
-1.063996,72,2237.895726
