#{"t_start": 1723469154.8626165, "env_id": "None"}
r,l,t
-0.823879,72,10.697129
-1.446582,72,21.44865
-1.371641,72,33.719644
-1.127322,72,47.133928
-1.127243,72,57.7123
-0.98539,72,72.618932
-0.984737,72,85.724253
-1.165994,72,103.58086
-0.916204,72,118.316594
-0.992543,72,132.201355
-1.030838,72,146.15479
-1.340272,72,160.860751
-1.691389,72,174.837682
-1.014803,72,187.064181
-1.498575,72,200.412016
-1.985309,72,213.035874
-1.034028,72,224.86098
-1.368671,72,238.565373
-0.989102,72,253.712737
-1.917999,72,268.366839
-1.409942,72,282.00987
-1.108122,72,295.656341
-1.068002,72,308.529449
-1.601785,72,320.603466
-1.310694,72,334.440156
-0.959569,72,346.516041
-1.115816,72,361.179585
-1.168055,72,375.275716
-0.816729,72,391.556719
-0.964374,72,406.657502
-1.533064,72,418.699622
-2.165295,72,432.631362
-0.93224,72,446.21916
-1.765489,72,458.219663
-1.057026,72,470.583011
-0.943298,72,483.41009
-1.062112,72,494.849581
-1.205756,72,508.176537
-1.472661,72,519.15934
-1.450178,72,529.664767
-1.080999,72,540.59594
-1.311117,72,555.49104
-1.317295,72,569.844511
-2.279165,72,583.537815
-1.59404,72,597.118231
-2.113687,72,609.176827
-1.898122,72,623.913492
-0.897924,72,637.464304
-1.055288,72,651.346192
-1.255744,72,665.155381
-1.73896,72,677.495164
-1.06578,72,690.35837
-1.509214,72,702.788594
-1.225084,72,713.47283
-1.286907,72,726.977529
-1.695726,72,741.644865
-1.232024,72,756.288303
-1.141686,72,770.055136
-2.119369,72,781.675133
-1.315748,72,794.989894
-1.143064,72,809.096531
-0.822922,72,823.405784
-1.495,72,838.122061
-1.77529,72,852.997544
-1.056422,72,867.761539
-0.870892,72,879.898433
-1.0001,72,895.158758
-2.322239,72,908.742362
-1.35823,72,922.41623
-0.930111,72,937.719471
-1.860847,72,949.783473
-1.285906,72,961.980171
-1.083491,72,975.321593
-1.636027,72,988.056496
-0.857958,72,1002.421903
-1.183543,72,1016.978982
-0.925863,72,1030.190407
-1.287425,72,1044.852563
-1.474016,72,1057.108678
-1.214648,72,1069.307206
-1.033902,72,1081.470109
-1.516111,72,1094.363545
-1.762743,72,1108.154776
-1.350861,72,1121.921328
-0.893727,72,1134.294667
-0.942963,72,1149.102417
-1.121118,72,1160.931785
-1.390522,72,1175.234283
-1.385122,72,1188.379971
-1.070783,72,1201.741024
-0.999879,72,1215.727623
-1.074776,72,1230.128601
-1.702626,72,1243.463398
-0.932274,72,1258.594961
-0.992296,72,1273.813566
-2.118771,72,1285.741135
-0.935557,72,1299.469198
-1.759779,72,1312.558234
-0.990584,72,1325.565183
-0.908706,72,1337.149492
-1.120968,72,1351.387276
-1.467021,72,1363.970059
-1.459978,72,1375.359273
-1.38099,72,1388.567623
-1.454825,72,1399.739824
-1.283439,72,1414.442788
-1.570104,72,1427.685122
-1.054222,72,1439.734832
-0.811074,72,1453.730961
-1.067446,72,1465.678807
-1.215621,72,1477.530062
-1.097308,72,1490.811758
-0.983633,72,1505.048904
-1.824075,72,1519.645205
-0.875477,72,1532.252358
-1.008614,72,1546.497227
-1.367872,72,1560.017009
-1.209015,72,1574.232185
-0.91154,72,1587.521617
-0.863728,72,1602.544554
-0.95202,72,1614.531421
-1.042649,72,1627.504823
-1.14588,72,1639.935029
-1.721419,72,1651.210911
-1.196627,72,1666.641769
-1.326116,72,1679.150106
-1.33316,72,1691.918587
-1.115841,72,1704.364738
-1.646167,72,1717.703065
-1.086912,72,1731.843113
-1.820832,72,1744.8818
-1.344382,72,1756.720454
-1.117383,72,1771.589519
-1.358969,72,1785.572961
-1.23967,72,1798.364846
-0.947022,72,1811.343036
-0.882177,72,1823.800222
-1.070247,72,1835.574989
-0.840609,72,1847.999174
-1.362895,72,1859.415053
-1.298153,72,1871.959041
-1.289352,72,1886.098147
-1.072388,72,1901.780595
-1.886838,72,1914.033447
-0.930573,72,1926.842913
-1.538741,72,1938.99979
-0.960441,72,1952.782159
-1.045089,72,1965.153045
-1.176288,72,1979.442264
-0.976235,72,1993.545647
-1.150047,72,2006.223003
-1.465271,72,2017.129347
-1.005705,72,2032.272292
-0.989996,72,2046.828778
-1.210766,72,2060.323406
-0.977654,72,2074.487266
-0.952069,72,2087.96829
-1.175354,72,2101.477145
-1.016527,72,2116.464082
-1.429208,72,2131.931645
-1.217117,72,2146.795146
-0.954341,72,2159.271446
-1.181146,72,2172.474866
-1.109023,72,2184.962674
-1.142644,72,2196.864476
-1.330447,72,2211.636554
-0.974017,72,2224.514768
-1.160836,72,2239.45033
-1.029926,72,2252.275356
-0.98192,72,2266.349021
-1.361521,72,2281.158054
-1.282191,72,2294.762791
-0.809655,72,2308.569945
-1.280369,72,2319.736187
-1.163132,72,2332.134925
-1.502205,72,2345.480653
-1.93011,72,2357.887016
-1.539682,72,2370.660514
-1.23596,72,2383.795895
-1.398239,72,2397.517148
-1.204502,72,2408.220125
-0.941738,72,2421.280821
-1.167983,72,2434.428957
-1.351403,72,2446.158729
-1.485783,72,2456.925751
-1.187323,72,2470.257799
-1.129607,72,2484.821111
-1.179126,72,2498.443952
-0.957302,72,2519.226804
-0.990062,72,2536.865871
-1.653117,72,2549.228355
-1.491663,72,2563.358395
-1.712562,72,2576.920037
-0.865863,72,2591.935649
-1.487121,72,2604.569946
-1.051495,72,2620.963089
-1.376244,72,2633.373
-1.537754,72,2646.415639
-1.056108,72,2662.858824
-1.052998,72,2679.023999
-1.09958,72,2692.23382
-0.994941,72,2705.863864
-1.21083,72,2718.499177
-1.079636,72,2732.638524
-1.052619,72,2746.786054
-1.017472,72,2760.633725
-1.505182,72,2774.892118
-0.996988,72,2791.827134
-1.484879,72,2806.047272
-1.288287,72,2819.438262
-1.441335,72,2834.514454
-0.905126,72,2851.404255
-1.313415,72,2866.958025
-1.264916,72,2881.541507
-0.993994,72,2895.670016
-1.242428,72,2910.398968
-1.191145,72,2924.724267
-1.487744,72,2938.326384
-1.313594,72,2954.401355
-1.734212,72,2969.990257
-1.403088,72,2984.499441
-0.888706,72,3000.013722
-1.36926,72,3014.968716
-1.204111,72,3029.367405
-0.954504,72,3047.761315
-1.177856,72,3064.658489
-0.99575,72,3079.351059
-1.078345,72,3092.418295
-1.055769,72,3109.091866
-1.3921,72,3124.927188
-0.923172,72,3139.801755
-0.880726,72,3156.055797
-0.914354,72,3173.167707
-1.303265,72,3191.797759
-0.958615,72,3206.261451
-1.458408,72,3223.542437
-1.42275,72,3241.193661
-1.365555,72,3256.040614
-1.23898,72,3270.90071
-1.022315,72,3284.266505
-1.120052,72,3299.814992
-1.086885,72,3313.698118
-1.182722,72,3330.050104
-1.904255,72,3346.158032
-0.892626,72,3359.675806
-1.415312,72,3375.137926
-1.452158,72,3390.181677
-1.3705,72,3406.872915
-2.230717,72,3420.527512
-1.053927,72,3434.271219
-1.307754,72,3449.089569
-1.004106,72,3466.651285
-0.825741,72,3481.321689
-0.997414,72,3497.840928
-0.937994,72,3512.151951
-1.766654,72,3529.575289
-1.20321,72,3547.151345
-1.05731,72,3561.805834
-1.59088,72,3578.280089
-1.170155,72,3592.083213
-0.907656,72,3606.641469
-1.430357,72,3624.132259
-0.926867,72,3642.024667
-0.958231,72,3660.769142
-0.827849,72,3677.133801
-1.166462,72,3695.558117
-1.102607,72,3712.231689
-1.048326,72,3726.186746
-0.917978,72,3741.787681
-0.907321,72,3756.89999
-0.995007,72,3771.190549
-0.949616,72,3787.737014
-1.022793,72,3803.740395
-1.000415,72,3820.650161
-0.945118,72,3835.645588
-0.988062,72,3848.445552
-1.252288,72,3862.714798
-1.645375,72,3879.042151
-1.092715,72,3893.789039
-0.831571,72,3911.024584
-0.988463,72,3927.076652
-1.4095,72,3944.311106
-1.683763,72,3958.84749
