#{"t_start": 1723474466.6893268, "env_id": "None"}
r,l,t
-0.921712,72,12.937871
-0.816111,72,23.65677
-0.736794,72,36.342584
-1.0335,72,48.252114
-2.160116,72,60.414432
-1.433907,72,71.99014
-0.963103,72,83.994801
-2.266524,72,96.822141
-1.708029,72,108.216777
-1.250442,72,121.466321
-0.838079,72,133.065057
-0.855373,72,146.652402
-1.583052,72,158.22519
-1.352019,72,171.825482
-1.040662,72,185.142547
-1.034039,72,196.290389
-1.055288,72,209.054137
-0.925818,72,223.463943
-0.947911,72,235.711717
-0.782303,72,250.007583
-1.72687,72,263.814104
-0.973227,72,277.686453
-1.054792,72,290.393554
-1.047301,72,302.973777
-1.17336,72,316.732808
-0.96377,72,329.559803
-1.130451,72,343.648566
-0.932845,72,355.211879
-0.989832,72,370.199675
-0.929837,72,381.343351
-0.970874,72,395.735161
-0.864193,72,407.803444
-0.942795,72,423.016953
-1.608038,72,435.557115
-0.975447,72,449.704112
-1.733611,72,462.696696
-1.371098,72,476.595137
-1.004707,72,491.437094
-1.148985,72,505.256022
-0.930349,72,516.449339
-0.845754,72,531.862777
-1.04544,72,548.285265
-1.332896,72,561.294629
-1.117451,72,576.094766
-0.973572,72,590.374016
-0.863555,72,604.668485
-0.900601,72,618.677857
-1.19572,72,631.213343
-0.878097,72,646.092699
-1.400835,72,660.636492
-0.932064,72,676.164486
-1.476092,72,688.043988
-1.043428,72,700.756551
-1.160603,72,715.320861
-1.244972,72,726.934375
-0.744879,72,738.500148
-1.807566,72,752.072813
-1.008498,72,766.464389
-1.104552,72,778.427759
-1.881508,72,792.87475
-0.807639,72,804.706151
-1.24183,72,819.529741
-0.882578,72,834.656937
-0.918421,72,848.779546
-1.344781,72,861.787028
-1.151138,72,877.289024
-1.217543,72,891.50333
-0.951499,72,907.359418
-1.489755,72,921.551851
-0.947988,72,934.507514
-0.931018,72,947.582328
-1.122387,72,961.785646
-0.988684,72,974.616215
-0.935522,72,988.270506
-0.847552,72,1001.234421
-0.884206,72,1014.703272
-0.991652,72,1029.640393
-0.909554,72,1043.285797
-1.287587,72,1057.908355
-1.131587,72,1072.500999
-1.170569,72,1087.532506
-0.912866,72,1100.012428
-1.32709,72,1114.208753
-1.633915,72,1126.723928
-1.151391,72,1141.86933
-1.035016,72,1157.437331
-1.05175,72,1173.608944
-1.168732,72,1187.556525
-1.076705,72,1201.556195
-1.134455,72,1215.452877
-0.877797,72,1228.226016
-0.920644,72,1240.972841
-0.766687,72,1255.737101
-2.152126,72,1269.598734
-0.904672,72,1283.542476
-0.939514,72,1294.924874
-1.056886,72,1310.95509
-0.984944,72,1325.258004
-0.898355,72,1339.390542
-1.003322,72,1353.341758
-1.150743,72,1367.269513
-0.895155,72,1380.711902
-1.172904,72,1393.402094
-0.929524,72,1408.177916
-0.90301,72,1421.848929
-1.872081,72,1435.602272
-1.178406,72,1446.19297
-1.441394,72,1459.016713
-1.516235,72,1470.982658
-0.785395,72,1482.754562
-0.794904,72,1495.804245
-1.239895,72,1509.320324
-1.050602,72,1522.462883
-1.027094,72,1539.117905
-0.951378,72,1553.820442
-1.243876,72,1567.092004
-0.912507,72,1581.494005
-0.879315,72,1594.069723
-1.378278,72,1608.790316
-1.35721,72,1621.792047
-1.452424,72,1634.852333
-1.13413,72,1649.876487
-0.970405,72,1666.880437
-1.05822,72,1683.38242
-1.1178,72,1698.700503
-1.097289,72,1709.747751
-1.149714,72,1722.577557
-1.294432,72,1735.68485
-0.853181,72,1745.97833
-1.092618,72,1760.18204
-1.346345,72,1775.051632
-1.668255,72,1788.774546
-1.355556,72,1803.375886
-1.077302,72,1814.828996
-0.983208,72,1831.142886
-1.070381,72,1845.317622
-1.135024,72,1859.440572
-1.221588,72,1872.609735
-0.948264,72,1887.435983
-0.906698,72,1902.95182
-1.070666,72,1919.049686
-1.206416,72,1932.46057
-1.134042,72,1945.109655
-1.398923,72,1958.641571
-0.83053,72,1974.454051
-0.873099,72,1988.820805
-1.1239,72,2002.415009
-1.319085,72,2017.497445
-0.987575,72,2033.376842
-1.555246,72,2047.336885
-1.129526,72,2063.084824
-0.933699,72,2079.215049
-1.254697,72,2093.079835
-2.026985,72,2107.220252
-1.336415,72,2118.651155
-1.020077,72,2134.077155
