train/entropy_loss,train/policy_loss,train/learning_rate,time/time_elapsed,time/total_timesteps,train/explained_variance,train/value_loss,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,train/n_updates
-4.033945083618164,0.060791172087192535,0.0007,185,500,0.0,0.00024122236936818808,72.0,100,-0.883363,2,16695
-3.9887523651123047,0.03884974867105484,0.0007,373,1000,1.1920928955078125e-07,0.00013693002983927727,72.0,200,-0.8695312307692309,2,16795
-3.985402822494507,0.04256562516093254,0.0007,550,1500,0.0,0.00012045146286254749,72.0,300,-0.8597675,2,16895
-3.960031270980835,0.0830269455909729,0.0007,731,2000,0.0,0.0007020101766102016,72.0,400,-0.8398539999999999,2,16995
-4.004487037658691,0.10622530430555344,0.0007,920,2500,0.0,0.0008477023220621049,72.0,500,-0.8251414117647058,2,17095
-4.007890224456787,0.08451392501592636,0.0007,1095,3000,0.0,0.0005566478939726949,72.0,600,-0.8328484390243902,2,17195
-4.05687141418457,-0.04655389487743378,0.0007,1277,3500,0.0,0.00015379353135358542,72.0,700,-0.8344112708333333,2,17295
-4.040714263916016,0.06579795479774475,0.0007,1446,4000,1.7881393432617188e-07,0.00039252397255040705,72.0,800,-0.8346498545454546,2,17395
-4.020885467529297,0.06152447685599327,0.0007,1637,4500,0.0,0.00030144621268846095,72.0,900,-0.8238705645161292,2,17495
-4.030617713928223,-0.05566015467047691,0.0007,1826,5000,0.0,0.00021409695909824222,72.0,1000,-0.821226463768116,2,17595
-4.002364635467529,0.07743095606565475,0.0007,2002,5500,0.0,0.0004419543838594109,72.0,1100,-0.82533525,2,17695
-3.9854862689971924,0.04862523078918457,0.0007,2184,6000,0.0,0.00016551444423384964,72.0,1200,-0.8253734819277109,2,17795
-3.9573419094085693,-0.03164522722363472,0.0007,2364,6500,0.0,0.00015157239977270365,72.0,1300,-0.8335098222222224,2,17895
-3.993986129760742,-0.0250871479511261,0.0007,2552,7000,0.0,8.454794442513958e-05,72.0,1400,-0.834128474226804,2,17995
