rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,train/learning_rate,train/actor_loss,time/total_timesteps,train/critic_loss,time/episodes,train/n_updates
-1.1439535,72.0,4,68,0.0003,1910.7020263671875,288,35821.3671875,4,187
-1.0577856250000002,72.0,4,130,0.0003,1585.5428466796875,576,77825.828125,8,475
-0.8790510833333335,72.0,4,187,0.0003,1743.075439453125,864,23883.525390625,12,763
-0.8074341875,72.0,4,256,0.0003,1692.2366943359375,1152,362601.375,16,1051
-0.7455272500000001,72.0,4,322,0.0003,1687.121826171875,1440,163577.75,20,1339
-0.7902502916666666,72.0,4,391,0.0003,1873.5166015625,1728,96827.625,24,1627
-0.8043132499999999,72.0,4,452,0.0003,1582.910400390625,2016,3498.48974609375,28,1915
-0.7780559062500001,72.0,4,518,0.0003,1335.58642578125,2304,120065.890625,32,2203
-0.7990324166666668,72.0,4,578,0.0003,1612.5396728515625,2592,40403.15625,36,2491
-0.7847993499999999,72.0,4,640,0.0003,1733.423095703125,2880,20335.875,40,2779
-0.7703341136363636,72.0,4,703,0.0003,1417.1414794921875,3168,147594.84375,44,3067
-0.7683928958333333,72.0,4,764,0.0003,1653.6920166015625,3456,36402.78125,48,3355
-0.7537039615384615,72.0,4,830,0.0003,1523.3277587890625,3744,599.6444091796875,52,3643
-0.7632079642857142,72.0,4,890,0.0003,1564.905517578125,4032,42188.38671875,56,3931
-0.7530049833333334,72.0,4,957,0.0003,1397.3076171875,4320,180357.046875,60,4219
-0.750450921875,72.0,4,1032,0.0003,1617.235107421875,4608,80622.8515625,64,4507
-0.7326311029411764,72.0,4,1092,0.0003,1647.88916015625,4896,96341.359375,68,4795
-0.7477141111111111,72.0,4,1169,0.0003,1569.4298095703125,5184,159863.15625,72,5083
-0.7609859210526315,72.0,4,1249,0.0003,1459.9818115234375,5472,40718.73046875,76,5371
-0.7585038875000001,72.0,4,1314,0.0003,1591.7867431640625,5760,8687.1630859375,80,5659
-0.7708007976190477,72.0,4,1373,0.0003,1489.316650390625,6048,39064.296875,84,5947
-0.748591875,72.0,4,1444,0.0003,1383.228759765625,6336,30126.833984375,88,6235
-0.7420358260869564,72.0,4,1514,0.0003,1510.6844482421875,6624,30379.0859375,92,6523
-0.7451365624999999,72.0,4,1588,0.0003,1421.1688232421875,6912,8592.11328125,96,6811
-0.73563617,72.0,4,1657,0.0003,1463.735595703125,7200,22152.66796875,100,7099
-0.71039334,72.0,4,1729,0.0003,1342.36083984375,7488,36295.25,104,7387
-0.70029648,72.0,4,1801,0.0003,1390.3885498046875,7776,17072.376953125,108,7675
-0.7032675099999999,72.0,4,1867,0.0003,1330.4669189453125,8064,14630.6552734375,112,7963
-0.6941780899999999,72.0,4,1942,0.0003,1475.904052734375,8352,16553.583984375,116,8251
-0.7143242899999999,72.0,4,2017,0.0003,1300.0997314453125,8640,15178.740234375,120,8539
-0.7129976800000002,72.0,4,2081,0.0003,1397.0860595703125,8928,1627.2012939453125,124,8827
-0.70005397,72.0,4,2162,0.0003,1459.1331787109375,9216,10988.1552734375,128,9115
-0.71870391,72.0,4,2232,0.0003,1321.5032958984375,9504,8851.5234375,132,9403
-0.7063503299999999,72.0,4,2304,0.0003,1364.3272705078125,9792,7497.58984375,136,9691
-0.7114506900000002,72.0,4,2380,0.0003,1378.2882080078125,10080,7135.11767578125,140,9979
-0.70937476,72.0,4,2456,0.0003,1292.3564453125,10368,8975.5625,144,10267
-0.7153781399999999,72.0,4,2529,0.0003,1311.023681640625,10656,583.6492919921875,148,10555
-0.7084546300000001,72.0,4,2596,0.0003,1366.72021484375,10944,3606.79833984375,152,10843
-0.7057760300000001,72.0,4,2669,0.0003,1285.8536376953125,11232,1114.72705078125,156,11131
-0.7009923199999999,72.0,4,2742,0.0003,1308.4755859375,11520,3821.37255859375,160,11419
-0.7087827999999999,72.0,4,2822,0.0003,1250.208251953125,11808,4238.45556640625,164,11707
-0.72946995,72.0,4,2905,0.0003,1223.192626953125,12096,10176.236328125,168,11995
-0.7207948700000002,72.0,4,2993,0.0003,1271.9173583984375,12384,5362.9521484375,172,12283
-0.7031738000000002,72.0,4,3066,0.0003,1267.4044189453125,12672,123.79156494140625,176,12571
-0.73046079,72.0,4,3149,0.0003,1251.613037109375,12960,259.43536376953125,180,12859
-0.7280525300000003,72.0,4,3227,0.0003,1264.5460205078125,13248,86.04305267333984,184,13147
-0.7512694799999998,72.0,4,3303,0.0003,1265.0120849609375,13536,169.1336212158203,188,13435
-0.7750097500000002,72.0,4,3383,0.0003,1215.8306884765625,13824,512.794677734375,192,13723
-0.7660210099999999,72.0,4,3457,0.0003,1240.47119140625,14112,114.53828430175781,196,14011
-0.7703193599999999,72.0,4,3525,0.0003,1245.50634765625,14400,250.208984375,200,14299
-0.7828707999999998,72.0,4,3595,0.0003,1240.215576171875,14688,1716.6552734375,204,14587
-0.7800951099999998,72.0,4,3671,0.0003,1247.4791259765625,14976,87.67798614501953,208,14875
-0.7736649400000002,72.0,4,3757,0.0003,1211.872802734375,15264,46.69482421875,212,15163
-0.79051955,72.0,4,3830,0.0003,1210.66650390625,15552,605.7459106445312,216,15451
-0.7957105700000001,72.0,4,3904,0.0003,1171.6910400390625,15840,1677.57763671875,220,15739
-0.79129519,72.0,4,3980,0.0003,1185.1424560546875,16128,405.05072021484375,224,16027
-0.7874076999999999,72.0,4,4051,0.0003,1190.2099609375,16416,832.25927734375,228,16315
-0.7754426399999998,72.0,4,4133,0.0003,1208.880126953125,16704,3565.63330078125,232,16603
