#{"t_start": 1724179682.3339539, "env_id": "None"}
r,l,t
-0.829256,72,25.685343
-0.905811,72,45.520097
-0.594855,72,63.334155
-0.505764,72,81.680604
-0.596945,72,98.046339
-0.57465,72,115.710245
-0.754063,72,134.321223
-1.05889,72,153.208105
-0.664454,72,170.103111
-0.831478,72,190.31448
-1.395861,72,207.552162
-0.639147,72,224.929551
-0.68964,72,242.734113
-0.63265,72,258.91895
-0.640176,72,278.998324
-0.844832,72,295.939697
-0.810678,72,317.489331
-0.60434,72,337.970247
-0.580954,72,356.532326
-0.767682,72,376.242017
-0.604799,72,396.885408
-0.489744,72,412.635711
-0.530519,72,428.695148
-0.775995,72,447.494021
-0.497876,72,464.71503
-0.636942,72,487.990193
-0.635544,72,505.552958
-0.631132,72,525.737375
-0.76719,72,546.450585
-0.640402,72,567.44698
-0.56795,72,590.901552
-0.994305,72,615.180314
-0.492035,72,636.329589
-0.555607,72,658.598955
-0.612192,72,682.350656
-0.502545,72,705.678393
-0.564343,72,725.403111
-0.745251,72,748.729831
-0.741236,72,769.828292
-0.685098,72,790.604028
-0.697307,72,815.177499
-0.512113,72,833.382132
-0.846876,72,853.925316
-0.679882,72,872.690451
-0.618446,72,889.760494
-0.650822,72,911.338417
-0.53242,72,932.202707
-0.552265,72,951.759389
-0.620786,72,974.612238
-0.602486,72,993.399124
-0.642886,72,1012.63333
-0.640764,72,1034.985462
-0.561923,72,1053.86544
-0.606229,72,1073.969351
-0.532536,72,1092.198059
-0.53886,72,1110.839657
-0.590313,72,1131.521901
-0.782318,72,1156.792617
-0.606182,72,1181.117667
-0.59159,72,1200.378782
-0.685303,72,1223.698684
-0.51932,72,1242.724812
-0.488975,72,1268.442245
-0.737572,72,1293.066334
-0.682173,72,1317.880306
-0.600481,72,1338.910072
-0.565868,72,1361.183243
-0.620755,72,1383.824619
-0.636427,72,1404.765154
-0.705738,72,1427.147281
-0.656691,72,1448.506596
-0.589607,72,1472.862927
-0.67714,72,1495.945279
-0.609102,72,1522.633482
-0.49712,72,1540.943579
-0.825967,72,1563.898307
-0.658984,72,1588.089593
-0.688378,72,1611.51893
-0.822547,72,1634.289684
-0.413131,72,1653.334215
-0.636924,72,1677.049284
-0.63004,72,1697.188295
-0.544638,72,1719.773533
-0.483363,72,1742.68866
-0.644091,72,1766.593013
-0.691497,72,1791.434304
-0.635259,72,1813.596277
-0.65927,72,1839.288322
-0.538582,72,1859.194444
-0.583587,72,1881.825935
