#{"t_start": 1723053471.8174565, "env_id": "None"}
r,l,t
-1.35785,168,26.990971
-1.696302,168,52.698659
-3.021445,168,80.644613
-5.118653,168,106.889169
-1.412837,168,137.008374
-3.432243,168,164.549045
-1.777225,168,188.65659
-1.701864,168,220.153283
-4.967702,168,248.164277
-1.76427,168,283.098274
-2.596202,168,315.730451
-6.131196,168,341.191424
-1.501503,168,373.529875
-3.62733,168,403.312275
-2.193678,168,435.479584
-1.883224,168,462.382327
-1.69883,168,495.032209
-5.138197,168,521.735875
-4.360354,168,552.933551
-3.847721,168,582.134493
-6.465801,168,606.162699
-2.6045,168,635.46073
-1.771278,168,666.089355
-1.665179,168,696.630646
-1.734874,168,727.290593
-3.249773,168,755.668673
-5.87741,168,779.653571
-1.475477,168,811.07312
-5.796812,168,834.663233
-5.667417,168,858.848443
-1.479244,168,888.067929
-1.259999,168,918.464859
-4.249598,168,948.55568
-1.200383,168,978.769176
-1.381699,168,1014.145108
-1.436937,168,1041.957946
-1.576172,168,1074.762687
-2.904885,168,1108.683829
-4.059612,168,1139.616078
-2.073392,168,1167.699154
-2.622806,168,1203.559353
-5.018501,168,1230.320806
-1.494114,168,1262.021661
-2.445431,168,1295.63136
-5.178245,168,1328.308031
-1.528452,168,1363.559233
-1.479194,168,1398.73675
-1.671092,168,1431.457343
-1.707806,168,1466.721867
-4.333853,168,1499.762428
-1.305225,168,1532.718932
-3.405747,168,1567.6715
-3.257954,168,1599.472623
-1.680551,168,1628.831043
-4.049395,168,1660.666089
-1.445123,168,1697.636918
-1.648643,168,1732.374123
-2.857142,168,1765.382721
-5.146917,168,1793.669862
-1.85361,168,1827.723951
-4.822502,168,1854.81365
-3.805845,168,1887.524209
-4.715215,168,1917.227836
-3.890032,168,1949.673841
-2.265453,168,1978.218229
-1.448212,168,2014.174385
-2.183126,168,2050.116832
-1.705678,168,2086.153505
-1.576238,168,2114.399703
-1.9548,168,2149.970754
-4.222798,168,2181.829314
-5.711587,168,2209.367276
-1.670533,168,2244.051421
-3.038772,168,2276.713822
-3.248334,168,2309.932424
-5.446887,168,2343.923468
-2.677566,168,2378.478984
-2.494074,168,2410.24787
-4.218758,168,2440.731292
-1.52533,168,2476.062972
-2.020573,168,2510.490684
-5.374341,168,2537.71809
-1.753967,168,2572.294083
-2.998454,168,2605.531988
-4.438924,168,2638.501357
-1.74427,168,2673.693592
-4.615213,168,2701.541754
-1.293656,168,2735.998161
-2.422095,168,2772.162526
-4.203146,168,2800.298238
-2.405844,168,2835.993349
-2.102978,168,2870.139024
-2.741005,168,2907.076246
-1.71704,168,2943.346239
-4.196243,168,2972.134867
-2.409126,168,3005.860633
-2.23405,168,3037.274251
-1.471072,168,3071.172339
-1.421036,168,3102.482016
-1.598396,168,3133.049945
-5.227621,168,3158.498418
-2.807221,168,3192.194581
-2.409617,168,3223.905367
-7.5171,168,3248.641948
-2.068811,168,3281.03024
-2.776884,168,3309.105559
-1.28579,168,3343.083287
-2.115949,168,3375.969079
-1.955904,168,3405.946165
-2.611671,168,3440.610235
-1.573342,168,3475.177414
-1.636478,168,3512.647229
-1.889936,168,3546.665466
-2.512958,168,3578.193358
-1.79939,168,3616.209033
-1.576865,168,3650.101302
-1.392824,168,3684.863209
-2.502389,168,3719.019456
-1.87888,168,3754.855472
-1.705708,168,3791.854196
-4.046903,168,3825.053527
-3.040578,168,3861.006211
-4.05149,168,3896.330132
-1.503665,168,3931.697323
-1.677573,168,3967.48714
-2.864344,168,4001.146769
-2.946553,168,4034.830199
-1.579123,168,4069.588476
-1.364082,168,4104.293797
-2.981644,168,4138.460477
-1.609038,168,4174.921436
-2.875066,168,4211.618232
-3.751609,168,4245.643162
-1.474586,168,4278.429166
-1.914953,168,4313.82098
-2.704605,168,4348.779796
-6.707118,168,4375.995365
-1.32174,168,4409.643322
-1.607365,168,4443.768759
-1.951027,168,4474.607858
-2.594888,168,4503.458756
-3.257866,168,4532.815838
-1.611439,168,4566.398377
-4.539633,168,4593.988343
-4.153171,168,4624.618338
-3.092962,168,4661.618093
-2.240472,168,4694.463427
-1.457243,168,4728.321324
-1.282496,168,4767.436524
-2.170097,168,4805.206019
-2.622022,168,4837.191669
-4.452915,168,4873.150703
-2.935438,168,4908.599675
-4.705924,168,4938.205961
-4.545518,168,4967.610161
-1.933283,168,5002.549877
-1.391062,168,5036.663319
-1.942786,168,5068.952272
-2.464868,168,5099.416221
-1.873475,168,5134.777796
-1.605103,168,5162.167642
-3.451923,168,5196.686533
-2.968179,168,5227.221911
-2.549934,168,5255.334691
-4.335834,168,5284.325512
-1.454673,168,5315.662906
-2.268369,168,5346.443347
