time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_range,train/value_loss,train/clip_fraction,train/n_updates,train/loss
2048,72.0,6,1,-1.1884760714285714,322,,,,,,,,,,
4096,72.0,5,2,-1.2035495892857142,698,-0.10476967568101828,0.046587817,0.0003,0.0,-8.090340539813042,0.2,0.0061344554931565655,0.6869140625,100,-0.22120681405067444
6144,72.0,5,3,-1.186400505882353,1042,-0.10386823043809272,0.048614018,0.0003,5.960464477539063e-08,-8.056478968262672,0.2,0.007501982026587939,0.681201171875,110,-0.19828751683235168
8192,72.0,5,4,-1.17074027,1380,-0.10030437386594712,0.045169715,0.0003,0.0,-8.031170752644538,0.2,0.0059519115362491,0.670263671875,120,-0.2149558812379837
10240,72.0,5,5,-1.18298199,1732,-0.0975269300834043,0.043548048,0.0003,0.0,-8.01309013068676,0.2,0.007466972978727426,0.6572265625,130,-0.16647116839885712
12288,72.0,5,6,-1.1732837999999999,2112,-0.09959265261422842,0.04584866,0.0003,0.0,-7.963928346335888,0.2,0.008582021554320817,0.673779296875,140,-0.1891816258430481
