time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_range,train/value_loss,train/clip_fraction,train/n_updates,train/loss
2048,72.0,5,1,-1.4211098928571426,346,,,,,,,,,,
4096,72.0,5,2,-1.3323406071428572,714,-0.11345997950993478,0.044425257,0.0003,0.0,-8.284563905000686,0.2,0.019243501150049268,0.75244140625,20,-0.22234341502189636
