time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_range,train/value_loss,train/clip_fraction,train/n_updates,train/loss
2048,72.0,6,1,-1.2690040714285715,336,,,,,,,,,,
4096,72.0,5,2,-1.2524965178571428,716,-0.109162961068796,0.05360416,0.0003,0.0,-8.184160324931145,0.2,0.011062115602544508,0.721923828125,60,-0.20034126937389374
6144,72.0,5,3,-1.252748505882353,1118,-0.10814412303152494,0.05245161,0.0003,0.0,-8.157003608345985,0.2,0.009105923313472885,0.719775390625,70,-0.19376464188098907
8192,72.0,5,4,-1.2409302699999998,1508,-0.10633026433060877,0.050550785,0.0003,0.0,-8.12959073483944,0.2,0.008962467286619358,0.70576171875,80,-0.18485374748706818
