time/iterations,time/total_timesteps,train/policy_loss,rollout/ep_rew_mean,train/entropy_loss,time/fps,train/value_loss,time/time_elapsed,train/n_updates,rollout/ep_len_mean,train/learning_rate,train/explained_variance
11100,55500,0.0966033861041069,-1.0135065399999998,-5.707675457000732,4,0.0004496886394917965,12997,11099,72.0,0.0007,0.0
11200,56000,0.08084899187088013,-1.00719144,-5.70384407043457,4,0.00022657125373370945,13121,11199,72.0,0.0007,0.0
11300,56500,0.15903706848621368,-0.9956178699999999,-5.688899993896484,4,0.0010305567411705852,13237,11299,72.0,0.0007,0.0
11400,57000,0.17893138527870178,-0.9937006600000001,-5.686420440673828,4,0.0012308367295190692,13361,11399,72.0,0.0007,0.0
11500,57500,0.009323916397988796,-0.99405273,-5.673514366149902,4,5.635805428028107e-05,13483,11499,72.0,0.0007,0.0
11600,58000,0.04933455213904381,-0.9761598300000002,-5.699752330780029,4,9.228596900356933e-05,13609,11599,72.0,0.0007,0.0
11700,58500,0.06839974969625473,-0.9697596500000002,-5.694352626800537,4,0.00016293220687657595,13734,11699,72.0,0.0007,-1.1920928955078125e-07
11800,59000,0.10268142074346542,-0.9712665500000002,-5.682697296142578,4,0.00044634146615862846,13861,11799,72.0,0.0007,0.0
11900,59500,0.0680539533495903,-0.9806392100000001,-5.662505149841309,4,0.00016838339797686785,13984,11899,72.0,0.0007,0.0
12000,60000,0.09652320295572281,-0.9874932399999998,-5.68893575668335,4,0.00038028028211556375,14107,11999,72.0,0.0007,0.0
12100,60500,0.1408558338880539,-0.9985012000000001,-5.686445236206055,4,0.0008633551187813282,14235,12099,72.0,0.0007,5.960464477539063e-08
12200,61000,0.17918549478054047,-0.9980552099999999,-5.68776798248291,4,0.001413253485225141,14364,12199,72.0,0.0007,-1.1920928955078125e-07
12300,61500,0.10216458886861801,-0.99308722,-5.674523830413818,4,0.00048300717025995255,14489,12299,72.0,0.0007,0.0
12400,62000,-0.29129159450531006,-0.98687897,-5.6762189865112305,4,0.015457150526344776,14622,12399,72.0,0.0007,5.960464477539063e-08
12500,62500,0.019346809014678,-0.99913154,-5.670283317565918,4,1.7507001757621765e-05,14744,12499,72.0,0.0007,5.960464477539063e-08
12600,63000,0.004116912372410297,-0.9795871500000001,-5.704538345336914,4,4.986543353879824e-05,14870,12599,72.0,0.0007,5.960464477539063e-08
12700,63500,-0.017696117982268333,-0.9820801700000001,-5.704917907714844,4,2.3988503016880713e-05,15000,12699,72.0,0.0007,0.0
12800,64000,-0.08468764275312424,-0.99571459,-5.67910099029541,4,0.0002591234224382788,15114,12799,72.0,0.0007,5.960464477539063e-08
12900,64500,0.07725142687559128,-0.99186589,-5.687887191772461,4,0.0003177562903147191,15242,12899,72.0,0.0007,0.0
13000,65000,0.07054250687360764,-0.9966619999999999,-5.691123008728027,4,0.0001596303191035986,15371,12999,72.0,0.0007,0.0
13100,65500,0.09133173525333405,-0.9995595499999999,-5.715385437011719,4,0.00032091434695757926,15497,13099,72.0,0.0007,0.0
13200,66000,0.012363205663859844,-0.9991001599999998,-5.733975887298584,4,7.058813207549974e-05,15628,13199,72.0,0.0007,0.0
13300,66500,0.13313840329647064,-1.0135523999999998,-5.715782642364502,4,0.000749287661164999,15760,13299,72.0,0.0007,0.0
13400,67000,0.11468712240457535,-1.01946225,-5.712215423583984,4,0.0004907131078653038,15894,13399,72.0,0.0007,0.0
13500,67500,-0.06526291370391846,-1.0121161300000001,-5.713308334350586,4,0.00015334103954955935,16022,13499,72.0,0.0007,0.0
13600,68000,-0.26900514960289,-1.02312283,-5.697201728820801,4,0.002756403060629964,16146,13599,72.0,0.0007,0.0
13700,68500,0.05771941691637039,-1.02603037,-5.704675197601318,4,0.00013236851373221725,16273,13699,72.0,0.0007,0.0
13800,69000,0.0934131070971489,-1.02533114,-5.695400238037109,4,0.0003497989964671433,16401,13799,72.0,0.0007,0.0
13900,69500,0.12876780331134796,-1.03529595,-5.658012390136719,4,0.0007311333902180195,16523,13899,72.0,0.0007,0.0
14000,70000,-0.010350622236728668,-1.03798085,-5.6743011474609375,4,9.87167950370349e-05,16651,13999,72.0,0.0007,0.0
14100,70500,0.0824725404381752,-1.0522713999999997,-5.692313194274902,4,0.0002588026982266456,16781,14099,72.0,0.0007,0.0
14200,71000,-0.6622664332389832,-1.0460165399999999,-5.6629319190979,4,0.04001259431242943,16914,14199,72.0,0.0007,0.0
14300,71500,0.07251298427581787,-1.04948616,-5.707017421722412,4,0.00024526636116206646,17045,14299,72.0,0.0007,-1.1920928955078125e-07
14400,72000,-0.004563871305435896,-1.0547064399999997,-5.705801963806152,4,0.00017238296277355403,17168,14399,72.0,0.0007,0.0
14500,72500,-0.011589800007641315,-1.05729392,-5.719793319702148,4,5.7509787438903004e-05,17290,14499,72.0,0.0007,0.0
14600,73000,-0.019784141331911087,-1.06322125,-5.727086544036865,4,8.46584007376805e-05,17420,14599,72.0,0.0007,0.0
14700,73500,-0.2519094944000244,-1.0581273800000002,-5.7097272872924805,4,0.002059448743239045,17542,14699,72.0,0.0007,0.0
14800,74000,-0.16828545928001404,-1.0411963800000001,-5.713518142700195,4,0.001865596161223948,17670,14799,72.0,0.0007,0.0
14900,74500,0.05237371847033501,-1.0359110200000001,-5.720372676849365,4,0.0001007708051474765,17804,14899,72.0,0.0007,0.0
15000,75000,0.022286226972937584,-1.0258753100000002,-5.7229323387146,4,2.9770832043141127e-05,17934,14999,72.0,0.0007,0.0
15100,75500,0.1365009993314743,-1.01424011,-5.732408046722412,4,0.0006323969573713839,18064,15099,72.0,0.0007,0.0
15200,76000,0.049791768193244934,-1.02429278,-5.731851100921631,4,7.696176180616021e-05,18190,15199,72.0,0.0007,0.0
15300,76500,0.0860004797577858,-1.02137458,-5.723048210144043,4,0.0002576740807853639,18319,15299,72.0,0.0007,0.0
15400,77000,0.07118942588567734,-1.0342167,-5.720333099365234,4,0.00023217929992824793,18450,15399,72.0,0.0007,0.0
15500,77500,-0.005847861524671316,-1.0252254299999999,-5.7352294921875,4,1.7839491192717105e-05,18572,15499,72.0,0.0007,0.0
15600,78000,0.046388428658246994,-1.02968544,-5.714838981628418,4,0.00010237172682536766,18705,15599,72.0,0.0007,0.0
15700,78500,0.09651441872119904,-1.02166095,-5.7284255027771,4,0.00034135233727283776,18841,15699,72.0,0.0007,-1.1920928955078125e-07
15800,79000,-0.01845460943877697,-1.01898903,-5.715001583099365,4,3.036655834876001e-05,18965,15799,72.0,0.0007,5.960464477539063e-08
15900,79500,0.096795454621315,-1.0247807900000003,-5.725083351135254,4,0.0004010707780253142,19095,15899,72.0,0.0007,1.1920928955078125e-07
16000,80000,-0.2984377443790436,-1.02462996,-5.723863124847412,4,0.015686573460698128,19217,15999,72.0,0.0007,0.0
16100,80500,0.08081676065921783,-1.03090206,-5.677549362182617,4,0.00025776890106499195,19348,16099,72.0,0.0007,0.0
16200,81000,0.0518241785466671,-1.0313484,-5.7050461769104,4,8.211760723497719e-05,19478,16199,72.0,0.0007,0.0
16300,81500,0.17408330738544464,-1.04430661,-5.710355281829834,4,0.0010659234831109643,19611,16299,72.0,0.0007,0.0
16400,82000,-0.2381126880645752,-1.0418127,-5.694692134857178,4,0.0021598362363874912,19737,16399,72.0,0.0007,1.1920928955078125e-07
16500,82500,0.09926684200763702,-1.04128894,-5.710784912109375,4,0.00038130179746076465,19861,16499,72.0,0.0007,0.0
16600,83000,0.0363185741007328,-1.03466685,-5.732295036315918,4,6.58545468468219e-05,20002,16599,72.0,0.0007,1.7881393432617188e-07
16700,83500,0.08460847288370132,-1.02413041,-5.735888481140137,4,0.00026664879987947643,20133,16699,72.0,0.0007,-1.1920928955078125e-07
16800,84000,-0.01917828433215618,-1.01950475,-5.7305908203125,4,5.274525028653443e-05,20264,16799,72.0,0.0007,0.0
16900,84500,0.03876955062150955,-1.01768319,-5.722048282623291,4,5.450085882330313e-05,20399,16899,72.0,0.0007,0.0
17000,85000,0.09854003041982651,-1.0079445900000001,-5.70850133895874,4,0.0004191968182567507,20529,16999,72.0,0.0007,0.0
17100,85500,0.04929060861468315,-1.01242147,-5.694203853607178,4,0.00012710229202639312,20665,17099,72.0,0.0007,0.0
17200,86000,-0.03319922089576721,-1.01020502,-5.690492630004883,4,4.554273982648738e-05,20797,17199,72.0,0.0007,0.0
17300,86500,0.09967672824859619,-0.9980062599999999,-5.676276683807373,4,0.0004244559386279434,20931,17299,72.0,0.0007,0.0
17400,87000,0.07692831009626389,-0.9940686400000002,-5.689069747924805,4,0.0003000389551743865,21066,17399,72.0,0.0007,-1.1920928955078125e-07
17500,87500,0.14799314737319946,-1.00814853,-5.708984375,4,0.0009079531882889569,21197,17499,72.0,0.0007,0.0
17600,88000,0.10213716328144073,-1.0032672399999998,-5.7143120765686035,4,0.0003723627014551312,21338,17599,72.0,0.0007,0.0
17700,88500,0.09861556440591812,-0.9909002799999999,-5.706630706787109,4,0.0002893547061830759,21475,17699,72.0,0.0007,5.960464477539063e-08
17800,89000,-0.45069947838783264,-0.9876222900000002,-5.723399639129639,4,0.02393692173063755,21609,17799,72.0,0.0007,1.7881393432617188e-07
17900,89500,-0.026209784671664238,-0.9925395699999998,-5.6944732666015625,4,7.826401997590438e-05,21747,17899,72.0,0.0007,0.0
18000,90000,-0.22205615043640137,-0.9968580300000001,-5.707236289978027,4,0.001915892236866057,21882,17999,72.0,0.0007,0.0
18100,90500,-0.016131801530718803,-0.9946987199999999,-5.713984489440918,4,3.463420216576196e-05,22017,18099,72.0,0.0007,1.1920928955078125e-07
18200,91000,0.1341579705476761,-0.9985712999999999,-5.722070217132568,4,0.000695571769028902,22149,18199,72.0,0.0007,0.0
18300,91500,0.059811174869537354,-0.9859909199999999,-5.7223615646362305,4,0.0001493851887062192,22286,18299,72.0,0.0007,1.1920928955078125e-07
18400,92000,-0.20778332650661469,-0.99193862,-5.70819091796875,4,0.0012962260516360402,22430,18399,72.0,0.0007,0.0
18500,92500,0.12126512825489044,-1.0013129499999998,-5.695455551147461,4,0.0005472394987009466,22565,18499,72.0,0.0007,0.0
18600,93000,0.0925218015909195,-1.01341284,-5.706559658050537,4,0.0003759093233384192,22706,18599,72.0,0.0007,0.0
18700,93500,0.05701697617769241,-1.01054995,-5.705037593841553,4,0.00011864100088132545,22843,18699,72.0,0.0007,5.960464477539063e-08
18800,94000,0.07413365691900253,-1.0062058999999999,-5.714784622192383,4,0.00016815075650811195,22982,18799,72.0,0.0007,0.0
18900,94500,0.06406164914369583,-0.9920382099999999,-5.7250494956970215,4,0.00020680569286923856,23110,18899,72.0,0.0007,-1.1920928955078125e-07
19000,95000,0.14294175803661346,-1.00119506,-5.723733901977539,4,0.0008314551087096334,23246,18999,72.0,0.0007,-1.1920928955078125e-07
19100,95500,0.10481347143650055,-0.9963662100000001,-5.714797496795654,4,0.000366531137842685,23381,19099,72.0,0.0007,0.0
19200,96000,0.06175389513373375,-1.0022554700000001,-5.709860324859619,4,0.00013690433115698397,23520,19199,72.0,0.0007,0.0
19300,96500,0.07281660288572311,-1.01689976,-5.714716911315918,4,0.0002317259059054777,23669,19299,72.0,0.0007,-1.1920928955078125e-07
19400,97000,0.155765101313591,-1.01534877,-5.702464580535889,4,0.0008692811243236065,23819,19399,72.0,0.0007,0.0
19500,97500,-0.335250586271286,-1.02926744,-5.695836544036865,4,0.0042121512815356255,23967,19499,72.0,0.0007,0.0
19600,98000,-0.6303619146347046,-1.02988867,-5.694841384887695,4,0.04092726111412048,24121,19599,72.0,0.0007,0.0
19700,98500,-0.06181776523590088,-1.04102455,-5.689724922180176,4,0.00013817950093653053,24277,19699,72.0,0.0007,0.0
19800,99000,-0.05017966777086258,-1.05085703,-5.682338714599609,4,0.000207775883609429,24426,19799,72.0,0.0007,0.0
19900,99500,0.0036350847221910954,-1.02610617,-5.692072868347168,4,2.557695916038938e-05,24576,19899,72.0,0.0007,0.0
20000,100000,0.018277660012245178,-1.0127854000000003,-5.693075180053711,4,2.9772494599455968e-05,24734,19999,72.0,0.0007,0.0
20100,100500,-0.12909282743930817,-1.01299597,-5.701632976531982,4,0.000692785601131618,24890,20099,72.0,0.0007,-1.1920928955078125e-07
20200,101000,0.07175076752901077,-1.0208302999999999,-5.695570945739746,4,0.00019948420231230557,25045,20199,72.0,0.0007,-1.1920928955078125e-07
20300,101500,-0.08116599172353745,-1.01802345,-5.718994140625,4,0.00041059692739509046,25200,20299,72.0,0.0007,-1.1920928955078125e-07
20400,102000,0.24963052570819855,-1.02475226,-5.708354949951172,4,0.002360941143706441,25360,20399,72.0,0.0007,0.0
20500,102500,-0.05589945241808891,-1.0409263199999998,-5.69647216796875,4,0.0002213665284216404,25512,20499,72.0,0.0007,-1.1920928955078125e-07
20600,103000,0.08784090727567673,-1.04069407,-5.7013750076293945,4,0.0002822261303663254,25669,20599,72.0,0.0007,-1.1920928955078125e-07
20700,103500,0.10748296976089478,-1.05017215,-5.721585750579834,4,0.000459303060779348,25828,20699,72.0,0.0007,0.0
20800,104000,0.08016439527273178,-1.03781288,-5.724742889404297,4,0.00032586915767751634,25982,20799,72.0,0.0007,0.0
20900,104500,0.05120514705777168,-1.02744566,-5.715987682342529,3,0.00012970587704330683,26133,20899,72.0,0.0007,-1.1920928955078125e-07
