time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_range,train/value_loss,train/clip_fraction,train/n_updates,train/loss
2048,72.0,6,1,-1.1236491785714284,340,,,,,,,,,,
4096,72.0,5,2,-1.158500160714286,717,-0.09083995559485629,0.04074575,0.0003,-0.0009965896606445312,-7.845718355476857,0.2,0.005371467000077246,0.626025390625,180,-0.18996171653270721
6144,72.0,5,3,-1.1644435294117645,1071,-0.09453881830704632,0.040601455,0.0003,5.960464477539063e-08,-7.836965177953243,0.2,0.007376750768889906,0.639453125,190,-0.1680905669927597
8192,72.0,5,4,-1.15921824,1415,-0.09409036575816572,0.040350996,0.0003,0.0,-7.81834163069725,0.2,0.008149154049897333,0.63017578125,200,-0.19285467267036438
10240,72.0,5,5,-1.15330021,1755,-0.09200353427440859,0.039675504,0.0003,0.0,-7.785123550891877,0.2,0.006427723478554981,0.62255859375,210,-0.16510236263275146
12288,72.0,5,6,-1.1568937700000002,2107,-0.08976919775595889,0.04188348,0.0003,5.960464477539063e-08,-7.741261804103852,0.2,0.006919815255969297,0.618994140625,220,-0.17166492342948914
14336,72.0,5,7,-1.1659324100000001,2452,-0.09250160232768394,0.041788578,0.0003,0.0,-7.720453527569771,0.2,0.010272835899377242,0.62529296875,230,-0.1816888302564621
16384,72.0,5,8,-1.16824886,2841,-0.09577613094588741,0.041446835,0.0003,0.0,-7.696702778339386,0.2,0.007693987006496173,0.62568359375,240,-0.18637558817863464
