time/total_timesteps,time/time_elapsed,time/fps,rollout/exploration_rate,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/loss
42336,8352,5,0.8602912,168.0,252,-2.8889766800000003,0.001,20664,1095296.859375
43008,8482,5,0.8580736,168.0,256,-2.8926583900000002,0.001,21000,1099103.28125
43680,8617,5,0.855856,168.0,260,-2.889273830000001,0.001,21336,892603.21875
44352,8749,5,0.8536384,168.0,264,-2.94122479,0.001,21672,1175953.984375
45024,8881,5,0.8514208,168.0,268,-2.9821159800000006,0.001,22008,1105458.953125
45696,9011,5,0.8492031999999999,168.0,272,-3.0605751800000003,0.001,22344,952369.203125
46368,9142,5,0.8469855999999999,168.0,276,-3.0280411599999995,0.001,22680,1001387.546875
47040,9275,5,0.8447680000000001,168.0,280,-3.0546836,0.001,23016,868148.3125
47712,9412,5,0.8425504,168.0,284,-3.0476634500000004,0.001,23352,949695.9609375
48384,9532,5,0.8403328000000001,168.0,288,-3.1196090400000003,0.001,23688,776610.984375
49056,9679,5,0.8381152000000001,168.0,292,-3.0851519399999994,0.001,24024,738901.453125
49728,9819,5,0.8358976,168.0,296,-3.021384499999999,0.001,24360,755852.1640625
50400,9960,5,0.83368,168.0,300,-3.05155511,0.001,24696,925658.7265625
51072,10089,5,0.8314623999999999,168.0,304,-3.1254120999999997,0.001,25032,928780.5625
51744,10229,5,0.8292447999999999,168.0,308,-3.0756956499999997,0.001,25368,715286.0625
52416,10356,5,0.8270272,168.0,312,-3.1215125200000005,0.001,25704,673839.0078125
53088,10488,5,0.8248095999999999,168.0,316,-3.1216137200000005,0.001,26040,892574.953125
53760,10620,5,0.8225919999999999,168.0,320,-3.1624864599999993,0.001,26376,833794.03125
54432,10757,5,0.8203744000000001,168.0,324,-3.16507177,0.001,26712,1058694.625
55104,10899,5,0.8181568,168.0,328,-3.1281009999999996,0.001,27048,1180520.75
55776,11035,5,0.8159392,168.0,332,-3.1244863200000004,0.001,27384,1090708.015625
56448,11175,5,0.8137216,168.0,336,-3.1411881,0.001,27720,1021952.28125
57120,11309,5,0.811504,168.0,340,-3.19324819,0.001,28056,1108672.3125
57792,11445,5,0.8092864,168.0,344,-3.1972010999999996,0.001,28392,1055023.671875
58464,11585,5,0.8070687999999999,168.0,348,-3.2767335000000006,0.001,28728,1079735.296875
59136,11718,5,0.8048511999999999,168.0,352,-3.2488779200000004,0.001,29064,753328.015625
59808,11855,5,0.8026336000000001,168.0,356,-3.2602734100000004,0.001,29400,1332210.375
60480,11988,5,0.800416,168.0,360,-3.3330702,0.001,29736,938978.0078125
61152,12129,5,0.7981984,168.0,364,-3.2832707100000005,0.001,30072,990232.515625
61824,12255,5,0.7959808,168.0,368,-3.3638800599999996,0.001,30408,1018472.546875
62496,12396,5,0.7937632,168.0,372,-3.25186136,0.001,30744,517042.4453125
63168,12534,5,0.7915456,168.0,376,-3.3124936000000003,0.001,31080,1154884.015625
63840,12672,5,0.7893279999999999,168.0,380,-3.2705960899999997,0.001,31416,735538.6640625
64512,12804,5,0.7871104,168.0,384,-3.27521301,0.001,31752,1127124.796875
65184,12947,5,0.7848928,168.0,388,-3.20042272,0.001,32088,1380185.6875
65856,13086,5,0.7826751999999999,168.0,392,-3.2183324499999997,0.001,32424,898054.265625
66528,13226,5,0.7804575999999999,168.0,396,-3.2458907800000008,0.001,32760,1162471.765625
67200,13361,5,0.77824,168.0,400,-3.2796802,0.001,33096,1009851.75
67872,13497,5,0.7760224,168.0,404,-3.221901959999999,0.001,33432,1131976.359375
68544,13635,5,0.7738048,168.0,408,-3.22399264,0.001,33768,1581265.625
69216,13773,5,0.7715871999999999,168.0,412,-3.18593484,0.001,34104,1363494.625
69888,13910,5,0.7693696,168.0,416,-3.2432111700000004,0.001,34440,1050032.390625
70560,14052,5,0.767152,168.0,420,-3.2328537899999996,0.001,34776,1650127.390625
71232,14186,5,0.7649343999999999,168.0,424,-3.2573402200000006,0.001,35112,1266630.6875
71904,14319,5,0.7627168000000001,168.0,428,-3.28353137,0.001,35448,1408793.375
72576,14460,5,0.7604992000000002,168.0,432,-3.26101057,0.001,35784,1633415.78125
73248,14601,5,0.7582816,168.0,436,-3.23406538,0.001,36120,1158194.671875
73920,14742,5,0.7560640000000001,168.0,440,-3.16963035,0.001,36456,1424267.453125
74592,14883,5,0.7538464,168.0,444,-3.15940049,0.001,36792,1547520.0
75264,15029,5,0.7516288,168.0,448,-3.0972250100000003,0.001,37128,1151569.375
75936,15160,5,0.7494111999999999,168.0,452,-3.0923956999999995,0.001,37464,1183192.6875
76608,15304,5,0.7471935999999999,168.0,456,-3.03807007,0.001,37800,1342072.40625
77280,15449,5,0.744976,168.0,460,-2.9842394999999993,0.001,38136,1246722.859375
77952,15586,5,0.7427583999999999,168.0,464,-3.0485405100000005,0.001,38472,1113874.84375
78624,15718,5,0.7405408,168.0,468,-2.9899327600000007,0.001,38808,1542615.375
79296,15855,5,0.7383231999999998,168.0,472,-3.06197207,0.001,39144,1596865.6875
79968,15992,5,0.7361056,168.0,476,-2.99028686,0.001,39480,1376925.71875
80640,16128,4,0.7338880000000001,168.0,480,-2.95664697,0.001,39816,1413342.5
81312,16264,4,0.7316704,168.0,484,-2.9778552400000002,0.001,40152,1518743.0
81984,16390,5,0.7294528,168.0,488,-3.01913638,0.001,40488,1409379.9375
82656,16522,5,0.7272352,168.0,492,-3.0465085400000005,0.001,40824,1833139.03125
83328,16653,5,0.7250175999999999,168.0,496,-3.02945371,0.001,41160,1704728.9375
84000,16797,5,0.7227999999999999,168.0,500,-2.9782854499999996,0.001,41496,1264738.46875
84672,16931,5,0.7205824000000001,168.0,504,-3.0113165,0.001,41832,1446066.125
85344,17051,5,0.7183648,168.0,508,-3.118917040000001,0.001,42168,1510094.65625
86016,17183,5,0.7161472,168.0,512,-3.14907057,0.001,42504,1114738.515625
86688,17313,5,0.7139296,168.0,516,-3.1439173500000006,0.001,42840,1442431.390625
87360,17449,5,0.711712,168.0,520,-3.1550952899999998,0.001,43176,1622714.3125
88032,17587,5,0.7094944000000001,168.0,524,-3.13099047,0.001,43512,1518173.3125
88704,17723,5,0.7072768,168.0,528,-3.04900358,0.001,43848,1600117.25
89376,17849,5,0.7050592,168.0,532,-3.053726679999999,0.001,44184,1446969.328125
90048,17980,5,0.7028416,168.0,536,-3.07917644,0.001,44520,1585543.046875
90720,18119,5,0.7006239999999999,168.0,540,-3.1057199300000007,0.001,44856,1617741.6875
91392,18253,5,0.6984063999999999,168.0,544,-3.05112232,0.001,45192,2091915.40625
92064,18377,5,0.6961888,168.0,548,-3.1077260300000007,0.001,45528,1744125.125
92736,18515,5,0.6939712,168.0,552,-3.0990383300000004,0.001,45864,1168160.96875
93408,18651,5,0.6917536,168.0,556,-3.1562971899999996,0.001,46200,1497551.75
94080,18785,5,0.689536,168.0,560,-3.2489889400000003,0.001,46536,1697649.375
94752,18931,5,0.6873184,168.0,564,-3.1886239700000005,0.001,46872,1650321.65625
95424,19074,5,0.6851008,168.0,568,-3.1356635799999992,0.001,47208,1310773.625
96096,19204,5,0.6828831999999999,168.0,572,-3.1162584599999996,0.001,47544,2054138.265625
96768,19340,5,0.6806656,168.0,576,-3.1770349199999997,0.001,47880,1464856.125
97440,19484,5,0.6784480000000002,168.0,580,-3.1917114900000003,0.001,48216,1586131.78125
98112,19626,4,0.6762304000000001,168.0,584,-3.177425440000001,0.001,48552,2468076.0625
98784,19771,4,0.6740128000000001,168.0,588,-3.1560325499999995,0.001,48888,1981009.03125
99456,19912,4,0.6717952,168.0,592,-3.1081510900000002,0.001,49224,1652692.8125
100128,20051,4,0.6695776,168.0,596,-3.1676500899999995,0.001,49560,1680788.859375
100800,20192,4,0.66736,168.0,600,-3.1502270599999997,0.001,49896,1984974.09375
101472,20333,4,0.6651423999999999,168.0,604,-3.1080412099999997,0.001,50232,2458478.125
102144,20472,4,0.6629247999999999,168.0,608,-3.0682355700000006,0.001,50568,2280833.28125
102816,20604,4,0.6607071999999999,168.0,612,-3.04368428,0.001,50904,2356156.1875
103488,20736,4,0.6584895999999999,168.0,616,-3.0779296900000004,0.001,51240,1780816.28125
104160,20874,4,0.656272,168.0,620,-3.1042334900000004,0.001,51576,1959638.9375
104832,21010,4,0.6540544000000001,168.0,624,-3.1789666000000008,0.001,51912,2178485.15625
105504,21142,4,0.6518368000000001,168.0,628,-3.28043983,0.001,52248,1812943.796875
106176,21278,4,0.6496192000000001,168.0,632,-3.2732766300000002,0.001,52584,2190523.625
106848,21416,4,0.6474016,168.0,636,-3.2966731800000004,0.001,52920,2282764.4375
107520,21554,4,0.645184,168.0,640,-3.3395131300000003,0.001,53256,2080423.4375
108192,21699,4,0.6429663999999999,168.0,644,-3.3640300300000003,0.001,53592,2131605.75
108864,21839,4,0.6407487999999999,168.0,648,-3.3236734499999994,0.001,53928,2766119.625
109536,21972,4,0.6385312000000001,168.0,652,-3.3401458,0.001,54264,1882607.40625
110208,22115,4,0.6363136,168.0,656,-3.3504750300000006,0.001,54600,2365570.0
110880,22253,4,0.6340960000000001,168.0,660,-3.2683186900000005,0.001,54936,2447160.6875
111552,22390,4,0.6318784,168.0,664,-3.2514005299999997,0.001,55272,2011441.6875
112224,22531,4,0.6296608,168.0,668,-3.24597086,0.001,55608,2666661.9375
112896,22673,4,0.6274432,168.0,672,-3.2234909199999997,0.001,55944,2884825.75
113568,22810,4,0.6252256,168.0,676,-3.2150666700000006,0.001,56280,3487906.375
114240,22950,4,0.623008,168.0,680,-3.2385692499999994,0.001,56616,2919016.1875
114912,23088,4,0.6207904,168.0,684,-3.2671415800000005,0.001,56952,2565429.96875
115584,23226,4,0.6185727999999999,168.0,688,-3.2675754500000007,0.001,57288,2279658.25
116256,23372,4,0.6163551999999999,168.0,692,-3.265520129999999,0.001,57624,3238408.0
116928,23509,4,0.6141375999999998,168.0,696,-3.31177011,0.001,57960,2981868.625
117600,23659,4,0.61192,168.0,700,-3.3238185000000002,0.001,58296,2963626.0625
118272,23809,4,0.6097024,168.0,704,-3.32935625,0.001,58632,3565119.0625
118944,23955,4,0.6074847999999999,168.0,708,-3.3673411399999997,0.001,58968,2723667.5625
119616,24106,4,0.6052672,168.0,712,-3.3298723199999993,0.001,59304,4167707.5
