rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate
0.9990496,4,-20.371874499999997,6,288,47,72.0,,,
0.9980992,8,-21.20992675,6,576,95,72.0,,,
0.9971488000000001,12,-22.311353666666665,6,864,137,72.0,,,
0.9961984,16,-22.2540805625,6,1152,184,72.0,72,279.73509979248047,0.001
0.995248,20,-22.024098450000004,6,1440,226,72.0,216,139.73309707641602,0.001
0.9942976,24,-21.904725166666665,6,1728,277,72.0,360,372.0108947753906,0.001
0.9933472,28,-22.418967571428567,6,2016,321,72.0,504,2613.6553344726562,0.001
0.9923968000000001,32,-22.259342781249998,6,2304,369,72.0,648,553.8379592895508,0.001
0.9914464000000001,36,-22.07819208333333,6,2592,419,72.0,792,1835.7031860351562,0.001
0.990496,40,-22.754565075,6,2880,465,72.0,936,1062.1966857910156,0.001
0.9895456,44,-23.041939181818183,6,3168,515,72.0,1080,2010.8197937011719,0.001
0.9885952,48,-23.135753979166665,6,3456,562,72.0,1224,1815.1170959472656,0.001
0.9876447999999999,52,-23.569727384615383,6,3744,608,72.0,1368,2391.813507080078,0.001
0.9866944000000001,56,-23.51937619642857,6,4032,657,72.0,1512,11566.46728515625,0.001
0.9857440000000001,60,-23.464832,6,4320,707,72.0,1656,3955.3629760742188,0.001
0.9847936,64,-23.506349484375,6,4608,754,72.0,1800,5458.1644287109375,0.001
0.9838431999999999,68,-23.655051014705883,6,4896,801,72.0,1944,5668.755615234375,0.001
0.9828927999999999,72,-23.50451701388889,6,5184,852,72.0,2088,7267.3118896484375,0.001
0.9819424000000001,76,-23.350096789473685,6,5472,898,72.0,2232,8428.022827148438,0.001
0.9809920000000001,80,-23.493921425,6,5760,952,72.0,2376,9857.34765625,0.001
0.9800416,84,-23.28989207142857,6,6048,1006,72.0,2520,29848.76953125,0.001
0.9790911999999999,88,-23.111022454545456,5,6336,1059,72.0,2664,13342.739990234375,0.001
0.9781407999999999,92,-22.99332567391304,5,6624,1110,72.0,2808,22217.0439453125,0.001
0.9771904000000001,96,-23.189186260416665,5,6912,1159,72.0,2952,18105.625732421875,0.001
0.97624,100,-23.39220538,5,7200,1206,72.0,3096,31872.82470703125,0.001
0.9752896,104,-23.784464229999994,5,7488,1255,72.0,3240,28073.900390625,0.001
0.9743392,108,-23.949910459999998,5,7776,1303,72.0,3384,30836.873046875,0.001
0.9733887999999999,112,-23.841086739999994,5,8064,1354,72.0,3528,66244.7099609375,0.001
0.9724383999999999,116,-23.909375429999997,5,8352,1408,72.0,3672,38124.33984375,0.001
0.971488,120,-23.974368679999994,5,8640,1460,72.0,3816,52748.9130859375,0.001
0.9705376,124,-24.133807340000004,5,8928,1514,72.0,3960,48574.951171875,0.001
0.9695872,128,-24.038969640000005,5,9216,1562,72.0,4104,49805.7646484375,0.001
0.9686368,132,-24.16340425,5,9504,1609,72.0,4248,49646.87109375,0.001
0.9676864,136,-24.219436859999995,5,9792,1662,72.0,4392,70043.685546875,0.001
0.966736,140,-23.92721042,5,10080,1718,72.0,4536,99440.80859375,0.001
0.9657856,144,-23.82429071000001,5,10368,1771,72.0,4680,64138.5712890625,0.001
0.9648352,148,-23.70430619,5,10656,1827,72.0,4824,72188.0322265625,0.001
0.9638848,152,-23.341391549999994,5,10944,1878,72.0,4968,84999.71484375,0.001
0.9629344,156,-23.132230459999995,5,11232,1931,72.0,5112,100227.673828125,0.001
0.9619840000000001,160,-22.999103619999996,5,11520,1983,72.0,5256,249155.59765625,0.001
